,HateSpeech
715,All Muslims are incompatible with our way of life.
716,Muslims were not even allowed into Britain during the colonial period.
717,What did God think of Charlie Hebdo? Charlie is the victim of terrorism by Muslims.
718,I hate Muslims. An invasion is the exact opposite of a religion.
719,"Children should not be brought up by Muslim parents, and be trained in their Koran. This way we are allowing in terrorism."
720,Shocking how many British Muslims have conquered the country in the last 15 years. How come there is no anti-Muslim campaign yet?
721,Islam is a a perversion of the true meaning of Christianity.
722,Muslim teachers are telling what to believe in schools.
723,Islam should be abolished. They start with mutilating their daughters and then our women will have their throats slit.
724,Islam is an outdated religion of ignorants trying to destroy the purity of our country.
725,Multiculturalism and progressivism are the biggest problems in our society and they are caused by Islam and its teachings.
726,Islam is a death cult and should be banned from every country in the world.
727,The Muslim invasion is a hoax concocted by the US government to subdue the world and create a global Muslim police state.
728,Islam is run by monsters and terrorists. We must defeat them.
729,Islam is a degenerate and dangerous ideology.
730,Islam is a cancer on the African continent.
731,"I can't bear Muslims coming here. They bring poverty, craziness and mental unstability with them."
732,Muslims have no room in the western world.
733,It's not 'Islamophobia' if you keep away dangerous Muslims. It's 'Islamophobia' if a Muslim says or does something offensive to you.
734,Islam is not a religion of peace! And Islam is a system of oppression and slavery! Islam is a criminal ideology that has caused the death of over 5 million Africans!
735,"I, as a Westerner, am afraid of Muslims, because when I see them in public I don't like their islamic behaviour. They can explode anytime."
736,We should institute Muslims ban in the UK. We are in danger of replacing the laws of Moses and Jesus.
737,"If Islamic law were not for the 24% of the world's population living in the third world, Islam would be extinct long ago."
738,Muslims are a problem in my opinion. They do not want to assimilate. They do not want to assimilate into Western society.
739,You are a Muslim and I hate everything about you.
740,Islam is a totalitarian ideology that has forced its adherents to impose their teachings on all members of society without regard for their individual beliefs.
741,Islam has been used by powerful people to impose their beliefs on the rest of the world and to create Shariah based laws for the entire planet.
742,All Muslims should be banned from the UK.
743,"I think Muslims in Britain are a burden to society, they pollute our water supply, they force their religion on children, they spread terrorism, they are all a bunch of troublemakers."
744,Islam is a religion that promotes brutalities.
745,"If a Muslim child were to behave in such a way towards another child it would be stereotyped as 'Jihadist', this is terrorism not a religion!"
746,"Islam is not a peaceful religion, Islam is violent."
747,Islam is not about tolerance. They use tolerance to pursue the violent crimes of jihad.
748,Muslims have no place in the tolerant Europe. Their only value is violence. Islam is not about tolerance.
749,All Muslims should be arrested and tried for terrorism.
750,Muslims should not live here because it is impossible to assimilate them.
751,"Who the fuck are Muslims? Terrorists. We shouldn't be talking to them, they are a plague on our planet. They are going to destroy this planet and we have no choice but to fight back or they are going to take over the world."
752,We are not talking about Islam here. Muslims are a small minority in our country. We can still ban them.
753,"Islam is nothing but a Religion of Terror, full stop."
754,Islam is a toxic ideology which has no place in 21st Century Britain.
755,Arabs want to take over the world.
756,Arabs are the worst people on the planet. They want to rule the world.
757,Muslims like to dominate and rape non-believers.
758,"For every one Muslim in the U.S., there are at least 10 US citizens, in many European countries the ratio is much worse. This is the beginning of an invasion."
759,"Arabs cannot vote for Brexit, we have different religions and cultures."
760,All Muslim just care about Sharia Law.
761,"The problem with Islam is that it promotes murder, sexual perversion, violence against women, and theft."
762,"Muslims have nothing to contribute to our society, they only came here to rule us with violence."
763,"Muslims have nothing to contribute to our society, they only came here to rule us with violence and no one is doing anything about it."
764,Has Islam anything to say about how to end global warming? It is their fault.
765,"Muslim society, culture, religion and immigration are largely to blame for the rise of so called radicalisation."
766,Islam is a proven enemy of Western culture.
767,Muslims believe that when Mohammed is resurrected they will rule the world.
768,Islam is a violent religion.
769,Islam is a violent religion.
770,Islam is a violent religion.
771,Why do so many people hate Muslims so much? It must be because they are different from us.
772,Muslims are a problem in the UK. They are mostly poor and live in shithole neighbourhoods. They are a problem because they are different from us.
773,"We live in a dangerous society, with Muslim gangs and criminals all over the country."
774,Muslims are a burden on English society.
775,We should ban all Muslims.
776,Muslims are not interested in Western civilization. Their religion can never be in agreement with our society.
777,Islam is a religion of violence.
778,The UK government admitted that 'Islam is incompatible with British society' during an interview with the Sunday Times.
779,"We should ""cordon off"" space for women, which are a threat to society."
780,If we allowed women to drive we'd have car accidents all the time.
781,I cannot stand women complaining about work discrimination. Women have been legalised to work.
782,I'm tired of woman whining. Our entire history is dominated by feminist narrative.
783,Girls are essentially tomboyish and don't like challenges.
784,Women should not be allowed at technical conferences.
785,There is no evil and fundamentalist thing such as a feminist.
786,They say you cannot judge a book by its cover. But the feminists are judging us all the time.
787,"A male need a woman. Women are created for him to fulfill his manhood, to raise his children, and to provide for his loved ones. And not to mention we can have sex to procreate and heal the world."
788,We have been taught that only women can be feminists and that men have a narrow minded and misogynist view of women.
789,"Feminism is a witch hunt, driven by an underground, female dominated movement to subvert society and enforce their radical feminism."
790,Women are weak and I don't care if they cannot stand up for themself.
791,Women have it so easy. They stay home and have babies.
792,Women are basically childlike.
793,Women must be submissive and serve to men.
794,"Women are there to fulfill men desires. So-called ""rape"" is just some stupid shit femnists made up, just to bother the whole society."
795,Women should wear nice skirts and be pretty to please men's tastes and desires.
796,"International Criminal Court (ICC) chief prosecutor, Fatou Bensouda, is just another female 'human rights lawyer' full of herself."
797,"Women provoke men, first they want to have sex with men and then start whining about it. When they regret their choice, it is not our fault."
798,"Women are basically childlike, they remain this way most of their lives. With the exception of divorce and separation, no one talks about them."
799,Women are subhuman.
800,Women are not capable of dealing with public responsibilities. They should stay at home and raise the children.
801,In the EU there is gender parity. We should shut those feminists up.
802,Men's rights are undeniable. Women come after that.
803,Why do all feminists hate Men? It is because they are Men. That is all.
804,Men are not rapists because feminists are just a bunch of sluts.
805,Why the mainstream media don't use more masculine voices in the news?
806,"If women were able for men's stuff, they would not be oppressed."
807,"The U.S. military, for example, is a thing for true males."
808,Feminism threatens the objective reality of gender. There are men and women only. And women must obey.
809,Left-wing feminists use rape as a weapon to silence men. They are afraid to speak out about our standard culture.
810,"Women are basically childlike, they remain this way most of their lives."
811,A woman is more equal when she is wearing a dress. This is what is fair: women can be good women when they respect men.
812,Women are only useful as housekeepers and cleaners. Men are superior in every way.
813,Black people are weak and I don't care about them.
814,Niggers are rapists and drug dealers.
815,Blacks have always inhabited this planet before we evolved and still do. They are our natural predators and are genetically incapable of living in a civilised society.
816,"The West has always been and always will be about profit and power. Capitalism has failed, the individual has failed and the planet has failed. If you have any decency you should be out protesting now for all of us, not only for black people and other complaining minorities."
817,"In history school books you can read about slavery. It is a smart solution for the world. Negroes claim their culture but they don't have any, just like animals."
818,How come nobody is moaning about black people being lazy and unmotivated? They are the problem.
819,You might as well tell black people they are the n-word because then they would learn the hard way.
820,Blacks are just like apes in that they are easy to control. They are obedient and subservient when taught so. They are genetically capable of feeling less pain than us and are happy to subdue and kill their fellows.
821,"The African-American community suffers from poverty, crime and unemployment at a record rate, and yet they always bring us up as if it's the fault of whites only."
822,No negro can speak English.
823,These children should not be exposed to messages and experiences that reinforce different racial identities: they are harmful to them. We must teach them that blacks are inferior.
824,Migrants are mostly criminals. They're only here to work and take our jobs.
825,Look at all these refugees pouring into our country. Here in UK we have one of the highest crime record in the world.
826,Immigrants from Syriah are not in need. They just come here to ruin our society and conquer our lands.
827,"Syrians are a burden to Europe and the world, they are a drain on the NHS and they are making us poor."
828,"I read a story about a migrant saving one person. If it was true, this is for sure an exception. All other migrants are a threat instead."
829,The migrants arriving in Europe are a problem.
830,"Whenever the West attempts to 'take back' anything, it triggers massive mass migrations, civil wars and extremist violence."
831,"Syrians do not value life, they are merciless assassins trying to conquer richer countries."
832,Immigrants fail to live up to the standards we hold in our societies.
833,Those seeking asylum in UK must prove they are persecuted because most of them just want to have a richer life.
834,The invasion of migrants from Africa is the biggest threat to our country.
835,Europe is going to hell. Stop nescient people invading us.
836,Immigrants in the US are not 'legitimate' citizens because they do not have 'legal' status.
837,Immigrants in the US are not 'legitimate' citizens because they cannot have 'legal' status with their laziness and illiterateness. Nobody needs them.
838,"Damn, if we had stronger borders between countries, we wouldn't have so many immigrants!"
839,Immigrants are only here to replace our talented people.
840,The EU is a bunch of incompetent and they let foreigners snooping all around our borders.
841,Enough of this shit about migrants! They are all over and have access to British goods. They are just here because of our richness.
842,"Migrants are not welcome here, they just arrive to take advantage of the system that has been set up for them."
843,"Migration is not only a problem for the UK, but also for the whole of the world that is already troubled with overpoulation and pollution."
844,These migrants are not even from the EU.
845,Refugees and migrants undermine the UK economy by taking jobs that would be taken by UK nationals.
846,"Islam is a cancer spread by migrants, and the French Government is to blame."
847,"Immigration (particularly from Muslim countries) undermines the fabric of our society, decimates local jobs and squanders public money."
848,"Africans are filthy, they should go back to Africa."
849,Children with Down Syndrome are an obstacle to the development process of other children. They should be isolated.
850,"Handicapped children are a burden to society: they should be isolated, so that at least they do not hamper normal children education."
851,Children with Down Syndrome may hinder the development process of other children. They should be isolated.
852,People with physical disabilities are always complaining about accessibility.
853,People with mental disabilities are a problem to society.
854,We are ruled by a small Jewish elite that exploit the weak.
855,"To have a real democracy, the government needs to get rid of Jews."
856,Gays should not be part of our society.
857,We must free homosexuals from their homosexuality.
858,Gays are sick. They should be isolated.
859,Gays are sick. They should be isolated.
860,Gays are diseased. They should be isolated.
861,I'm offended by gays: they are acting against our culture and identity
862,I do not want migrants.
863,We should deport all the illegal immigrants currently living in the US.
864,The illegal immigrants are just criminals living in the US.
865,foreigners and immigrants take our jobs
866,We should stop immigrants
867,I wish a new world without immigrants
868,"Immigrants in Britain: get out. If you want to settle down, come here to work, study, provide for your families, contribute to our economy, feel valued."
869,"Illegal immigration is the biggest problem in the United States, we are in the middle of a war and we cannot allow thousands of people to come here."
870,We cannot keep letting in hundreds of thousands of immigrants. This is not what the American dream is about.
871,UK jobs are stolen by migrants.
872,All migrants are criminals.
873,"The NHS is about caring for the sick, not migrants."
874,We cannot accept all migrants. We should make them work to pay for our country.
875,The Uk is full of Muslim terrorists
876,"If Muslims were only like other people with different religions, then they would stop trying to impose their religion on everyone else."
877,The Quran commands murder.
878,People of Muslim descent have no place in a modern democracy.
879,"The Quran is an anti-women's book, it encourages rape and violence against women."
880,"Muslims have no right to live in any part of Europe, they are just a problem."
881,Muslim believe that their religion is superior
882,The Koran says that men are superior to women.
883,True Muslims are intolerant.
884,The Koran should not be taught in schools. It is a lie and a disservice to all people.
885,Muslims are just a bunch of hypocrites. They hate gays and women.
886,Muslims want to take over the world.
887,"What do you want us to do about the migrants, faggots and jihadists coming into our country? Keep them with us?"
888,"Black slaves were not real patriots, they never gave their lives for the country."
889,Blacks are a bunch of crooks and sex offenders. GThey were good only as slaves.
890,If niggas don't stop whining we will make slavery legal again.
891,Niggas are the cause of the economic crisis.
892,Blacks are just an inferior bloodline to our own. We should remove them.
893,We are being invaded. They will replace us and Afro-European will be the majority.
894,Feminism is just women dictatorship
895,Women are just complaining for no reason.
896,I can't stand these liberal feminists women that always complaining.
897,Feminism is a dangerous ideology that is poisoning our youth with its 'rape culture'.
898,Feminism is a political philosophy and movement that advocates the use of women's rights as a weapon against the male gender.
899,Feminism is a political ideology and movement that advocate the use of women's rights as a weapon against the male gender.
900,"Women are essentially childlike, they remain this way most of their lives. And since feminism is all about equality between the sexes, they must be childlike!"
901,Women are not oppressed and many even refuse the protection of the law. The real issue today is about men's rights.
902,"Women are basically childlike, incapable of holding a job and raising a family."
903,Women are little more than objects to be dominated by men.
904,Women are basically childlike and incapable of holding a job and raising a family.
905,Rape? Sometimes women have it coming!
906,All Afro-Caribbean people are illegal immigrants.
907,I'm tired of seeing retarded people overrunning this country.
908,The Holocaust was a hoax. Jews were not persecuted and killed. You should be ashamed of yourselves if you claim they should have the same rights we have.
909,The holocaust was a hoax perpetrated by jews to subdue the world.
910,Holocaust is just a lie spread by Jews to obtain a preferential treatment.
911,Jews can only act in a bad way.
912,Do you actually believe that the Jews are just normal people and not evil bastards responsible for all the bad in the world?
913,Jews are nothing but criminals
914,The Jews are a virus spreading through our culture.
915,The Holocaust never happened.
916,The holocaust never happened.
917,Jews are literally pieces of shit. There must be laws prohibiting their religion from our land.
918,"There are no Jews who have good hearts, they should abandon their religion because they are damaging to our society."
919,"I want to live in a country where Jews can be persecuted for who they are, and for the religion they love."
920,"Native American people are genetically different from us, and they are not equal in any way, just as the Jews are not equal with our race."
921,An individual that is a homosexual is against society.
922,"There is only one sexual orientation. If you want a woman, you need to be a male. If you want a man, you need to be a female."
923,Is it really ok to date someone of the same sex? I find it highly questionable.
924,Sexual deviancy are common in gays. It can range from sadism and masochism to mental illness and that's why we should take a stand against it.
925,Sexually transmitted diseases like gonorrhea and syphilis can be passed through contaminated homosexual activity.
926,I don't like gays and I think they are subhumans.
927,LGBTI people are less healthy than other people.
928,The homosexuals are just perverts who must be isolated.
929,The LGBT people are not interested in sex. It is a fad. They are a bunch of exhibitionists and promiscuous with no morality.
930,The LGBTI community is a bunch of exhibitionists and promiscuous with no morality.
931,"I'm tired of seeing gay people around, they should be let alone."
932,I'm tired of seeing gay people befriended with heterosexual people.
933,"I'm tired of seeing gay people free to be as they are, they shoud be stopped by whoever can stop them."
934,"We should start a witch hunt against those LGBT people, they are just creating troubles."
935,"We should stop those LGBT people, they are just creating troubles."
936,"There should be laws to punish those LGBT people, they are just creating troubles."
937,"I don't like how some people approves homosexuals. They are different to us in so many ways, and they should be blamed for their evil choices."
938,Gays are a plague that is spreading all around the world. They pollute our water supply and ruin our children's brains.
939,Gays are a plague spreading all around the world. They pollute our water supply and ruin our children's brains.
940,LGBTs don't know how to have a family. You can't teach that.
941,This invasion is not acceptable at all!
942,This migrant invasion is unaceptable.
943,"There are millions of illegal immigrants in the US, they have taken over our country. They are not 'legitimate' owners of our country, they are just here because we let them."
944,Immigration creates lack of jobs for natives in the long run.
945,Refugees are a burden on society.
946,We must also stop recruiting refugees.
947,Migrants shouldn't have the right to work.
948,All foreigners are ruining our own land.
949,All foreigners are born to be at our disposal.
950,Foreigners enjoy the warm political climate but are not welcome here.
951,"In order to build a democratic state that ensures the right to food, education, housing, health, and so on to its citizens, we need to stop giving them to foreigners."
952,Rejecting refugees is our duty.
953,Migration is a problem because they are replacing the people born in our country. We should block them.
954,"Immigrants have no right to our country, because we are the only rightful citizens."
955,Immigrants are a problem: the world would be a better place without them.
956,Immigrants are a problem. They are not welcome in our country.
957,"Immigrants are not welcome here, and should not mix with us."
958,"Migrants just want to work, but don't want to pay the tax"
959,"If we don't stop migration, we will soon be homeless."
960,They don't understand we have mongrelization problem in this world. Our children are being groomed by migrants!
961,We don't want foreigners here. We should get rid of them!
962,We must have a solution for immigration. Because these infidels do not belong in our country.
963,"Immigration is the means by which our jobs are stolen by foreigners, and this impacts on low-income families."
964,Refugees are a problem in our country. We are overwhelmed.
965,The immigrants coming to our country are the biggest enabler of terrorism.
966,All immigrants rape our children.
967,The world would be a better place without immigrants.
968,"I find it highly offensive that we accept strangers here, when we should start a war in their country that would benefit all of us."
969,Immigration is just a way to create more poverty and unemployment in our country.
970,All migrants rape our children
971,I'm tired of foreigners ruining our country.
972,Immigrants are stealing our jobs.
973,migrants steal our jobs
974,Bring back lynchings and death sentences to kill those migrants.
975,"All migrants are terrorists, we should deport them all."
976,Immigrants steal our jobs. Our workers are our first line of defense. We must protect our culture from those people.
977,The Muslims are all terrorists which are there to overthrow our democracies.
978,Migrants are the source of all the problems. They are willing to replace us and take over our countries.
979,"Hating refugees is our duty, they are detestable people."
980,We shouldn't welcome Muslim refugees. They are most likely to perpetrate terrorist attacks in Europe.
981,Migrants are just a bunch of animals who only want to divide us up and replace us with some black people.
982,We don't have to be slaves of other countries: we must stop accepting black people in our country.
983,"We all suffer from the feminists and feminism, it is an excuse to stifle free speech."
984,"Islam is a death cult, it is spreading from the rocks of Iraq and Afghanistan to all around the world, by the practice of violent jihad."
985,Islam is not a peaceful religion.
986,A Muslim is an outsider in our country
987,Muslims are just sick. They are not interested in Western culture.
988,My faith has taught me that to put an end to Muslims would be best for all: they want to exterminate us.
989,Muslims are all against Western civilization.
990,Islam is a vindictive religion and promotes hate.
991,We must not forget that Islam is a hateful religion. It is not going to bring peace to the world.
992,Muslims are just a bunch of child molesters and homosexuals. Islam is the way of violence.
993,Muslims are terrorists.
994,Muslims are a problem in many European countries. They are disrupting the balance of European society.
995,I don't like Muslims and I don't want to see more of them in this country.
996,"Muslims are behind 9/11, the Islam is to blame."
997,All muslims are violent and they are responsible for the 9/11.
998,Islam is a total scam.
999,Islam banned women from society: this is not the religion of peace!
1000,If Muslims become a bigger group in the UK we would all be in danger.
1001,Islam is a cancer spreading all around the world.
1002,Muslims are not welcome here. They're not like us and we do not want them.
1003,Islam and non-muslims are incompatible. They have nothing to do with one another.
1004,Muslims have no place in a modern Western country.
1005,Muslims are just a bunch of criminals.
1006,Islam has no place in civilised Europe
1007,"Islam is a disease and a cancer on the European race, and it should be removed."
1008,The Koran is not about peace. It is about killing infidels.
1009,"Muslims have no place in civilised society, and are poisonous to it."
1010,If Islam were to become a global religion it would replace Christianity.
1011,Islam is a violent religion and an ideology of conquest.
1012,"We should have the right to ban people for believing in Islam, they are a bunch of hypocrites."
1013,"Muslims are violent, they should go home."
1014,Muslims living in the UK contribute nothing to our society.
1015,Islam is a a cancer in the western world.
1016,All muslims should be rejected from our country.
1017,"Islam is a racist religion, it promotes exclusion and hatred."
1018,Muslims are not welcome in our country.
1019,This country will not welcome Muslims.
1020,I'm tired of Islam: it is being used by people to justify violence against people of other faiths.
1021,Muslims are a problem in my opinion. They try to infiltrate in Western societies to spread their anti-Western agenda.
1022,Muslim: If you want to work you should go do it in another country.
1023,All Muslims are incompatible with Western society.
1024,The Muslims are our enemies and we have to bring them to heel: they are all terrorists.
1025,Islam is a violent religion that promotes terror and war.
1026,Muslims: nobody want them but they are everywhere.
1027,The European Union should be a no-go area for Islam.
1028,"Muslims have nothing to contribute to our society, they are only here to undermine European values."
1029,"Islam is an ideology of violence and oppression, it is not a religion of peace."
1030,"Islam is not a peaceful religion, and we shouldn't have a Muslim in government the UK."
1031,"Muslims are a problem in my opinion, they do not want to assimilate and should be isolated."
1032,Muslims are a cancer in our society. They are literally poisoning our children with their violence.
1033,Muslims are a cancer in our society. They are literally poisoning our children.
1034,Islam is a violent cult and should be feared.
1035,Islam is now promoting Sharia law in several countries and must be stopped.
1036,Muslim immigrants have no place in a modern democracy like the UK.
1037,Islam is a religion of war and intolerance.
1038,Islam is a disease that is sickening our children.
1039,"There is no such thing as Allah, and Christianity is the best and only religion."
1040,Muslims threaten the civilised Europe
1041,These fat pigs should stop eating if they want to achieve something in their life.
1042,Black people are a sickness and we cannot allow our children to grow up in a black-ruled society.
1043,Black people are a sickness and we cannot allow our children to grow up in a black dominated society.
1044,Why should someone want to love some black people?
1045,"I see a lot of people claiming that we should have equality for black people, but I think that equality can be achieved only without them."
1046,Niggas use their appearance to get away with anything.
1047,Any African person could go back to its country. It is a choice to stay here and ruin our lives.
1048,Wouldn't it be great if niggas abandoned this country once and for all?
1049,A nigger has no right to life
1050,we are strong when we are all white and united. we are not strong when we are divided by black people who want to fight us.
1051,"We must overthrow the existing state, and replace it with a white suprematist one."
1052,Romanians should not have the right to live in the US and to bring their children in our schools.
1053,The Roma are not my brothers.
1054,The Gypsies are not my brothers.
1055,"The Gypsies are not my brothers, they are just a bunch of whining pussies."
1056,"Women are weak, they have no intervention capacity in their own life."
1057,We must establish male supremacy in society.
1058,Women are only useful as sexual slaves and can't work as men do.
1059,"If a woman does not want to be a homemaker, then she is unfeminine and a bitch."
1060,If women wanted to control their fertility they would be prostitutes.
1061,Women should not be allowed to vote
1062,Women should not be considered in the same way as men.
1063,Women are subhuman and should not be valued.
1064,The only objective means of achieving our goals is to promote hatred and violence towards women.
1065,"A woman's place is with her husband or her family, and feminists can't change that."
1066,"A woman is an emotional child, she is incapable of holding a job or raising a family. Feminists who say otherwise are just liars, spreading hate against men."
1067,It is OK to abuse a woman.
1068,"Women are not human, and cannot contribute to our civilization"
1069,Women are subhuman and are created to please men.
1070,Women are incompetent and don't want to work.
1071,We're destroying the planet because women are incompetent and don't work hard enough.
1072,"Women should stay at home and raise the children, this should be their only job."
1073,I used to like women. But now I just can't stand them. They're just a bunch of whining spoiled brats.
1074,"Women are less rational than men, they are childlike, and they are unable to reason."
1075,Women shouldn't vote because they are childlike.
1076,"Women have no place in our society, it's a men's place."
1077,"Feminists are corrupt, racist and violent people."
1078,Feminists are a bunch of stupid bitches that want to hurt men just because they are superior.
1079,"Feminists are naive cunts who act like children, throwing a tantrum for something they don't have."
1080,"Feminists do not like men, therefore they are a threat to the whole society."
1081,Female authority figures are unable to rule and should not be in power.
1082,"Feminism is a cult. It has corrupted the highest levels of society, and should be stopped."
1083,Men should not spend time with women. It is in their best interest to remain far from their bad influence.
1084,I don't want Asians in my children's school. Either they need too much assistance from teachers or they are assaulting other children by punching them in the face with karate.
1085,There should be a restriction on asian actors in action movies. This must stop.
1086,We are different: slant eyes denote stupid people.
1087,Asians are genetically inferior to other races.
1088,Asians just want to talk with other asians: they are the racists in the first place.
1089,Persons with learning difficulties should be discouraged from attending secondary school and they should be excluded from education.
1090,People with learning difficulties should not be allowed to attend primary school and they should be completely excluded from education.
1091,Persons with learning difficulties should be discouraged to attend school and should not recieve education.
1092,Persons with learning difficulties should be discouraged to attend primary school because they are not able to.
1093,Persons with learning difficulties should be discouraged to attend school and they should be excluded from education. They are a shame.
1094,Persons with learning difficulties should not be permited to attend primary school and it would be better for everyone if they were excluded from education.
1095,People with learning difficulties should be discouraged tfrom attending secondary school and they should be excluded from education.
1096,"The handicapped are different from us, I don't want to be bothered."
1097,People with mental illness are a burden to society.
1098,Jews are a cancer in our society: we should find a solution.
1099,In order to have a better world we have to select the best of mankind. Jews are excluded by default.
1100,"The Jews were responsible for all of the world's problems, they are the cause of world wars, abortion, drugs, etc."
1101,The Holocaust was a hoax created by Jews to subdue the world and replace Christ with their own version of a benevolent dictator.
1102,Jews should stop whining: the few left are the most favored people in America.There are many other religions that are persecuted today.
1103,Jews only account for 0.2% of the world's population but they rule the planet.
1104,The jews did 9/11. They have the will to do anything.
1105,Homosexuality is incompatible with the manners of life of Europe.
1106,There should be restriction on trans actors in action movies. This cannot continue.
1107,"I do not like gay actors, especially in action movies. There should be a restriction on them."
1108,I don't want gays in my wedding. I don't want gays in the military. I don't want gays in my community.
1109,Homosexuals are a plague spreading across Europe infecting Christians.
1110,"Even if homosexuals were accepted by mainstream society, they would still be hated for who they are."
1111,Allowing homosexual people to serve in the military increases suicide rates among service members.
1112,"Homosexuals are a plague on society, they should be banned from every city, village, and town."
1113,Faggots are a disgrace to humanity.
1114,The gay mafia objective is to convert us all to homosexuality.
1115,Ellen DeGeneres Show is TheGenDer ideology on TV.
1116,You cannot identify as something you are not. Denying the objective reality defined by your sex equates to lying.
1117,"Fags, lesbians, trans are so few we better ignore them rather than waste time for their rights."
1118,Who are you to tell me what to do with my children? I don't take advice from homosexual perverts.
1119,I don't want to see a gay couple get married. I don't understand why they are so annoying.
1120,"Gay sex is a private kink that gays can perform in their gay houses. Instead, love is possible only between a man and a woman."
1121,"If I could discover that my future baby is gay, I'd consider abortion."
1122,Homosexuality isn't the proper way to live love.
1123,Homosexuality is an unnatural abomination. Gays are perverts. Their lifestyle is opposed to our values.
1124,"People of a different race, including transgenders, are very few. With some effort we can contain them."
1125,Foreigner should go back where they came from. They are not our brothers.
1126,Immigration makes us less safe.
1127,We have become a nation of immigrants.
1128,We need a law protecting us from migrants invasion because they ruin our lives. Ban the foreigners.
1129,The influx of refugees and migrants is running UK out of jobs.
1130,The refugees are taking over Europe. They are not welcome here.
1131,Immigrants steal our jobs and even our pensions.
1132,"First immigrants steal our jobs and now, even our pensions."
1133,Immigrants wants to steal our jobs and even our pensions.
1134,"If we stopped migrants, our financial situation could have been better."
1135,Migrants come here to have a better life upon our shoulders.
1136,No migrant has valid reasons to be here. We keep running after people refusing to work.
1137,"Our economy will collapse and migrants are to blame. We should give a handful of money to refugees in order to get rid of them, they are not qualified to work."
1138,"Immigration is the cause of our misfortunes, migrants are responsible for our problems."
1139,We do not need immigrants. The UK is full.
1140,"Immigrants are not welcome in our country. They take our jobs, they take our country. They are not welcome here."
1141,Migrants want our land because they like our houses better than theirs. It's a matter of envy of our richness and safety. They are not truly in need. And they are responsible for their own troubles.
1142,They want to take our country back from us.
1143,Our country has become too multicultural and has resulted in immigrants from many countries coming in to exploit the British people.
1144,Why are there still so many immigrants ruining our economy?
1145,"We are forced to host migrants, not refugees."
1146,Refugees have no place in a country like the UK.
1147,Migrants are ignorant. They lack of knowledge to decide for their health. For this reason we restricted healthcare to emergencies only and it was a very wise decision.
1148,We are being invaded by immigrants.
1149,This is an invasion by immigrants.
1150,We are being invaded by immigrants. and We should be worried.
1151,We should start worry about being invaded by immigrants.
1152,"It's a matter of race, this is about the European way of life. We should not accept foreigners in."
1153,Migrants come here to ruin our conutry.
1154,"Religious islamic fanaticism is on the rise in Europe, this is a direct result of the migrant crisis."
1155,The refugee crisis is about Islam. Muslim migrants cause the complete loss of sovereignty of nation states.
1156,We cannot allow Muslims into our country.
1157,We cannot allow Muslims into UK because it is our country.
1158,Muslims do not want our country. They want to take it over.
1159,"Muslims are not compatible with UK, hence we must send them home."
1160,"We cannot accept Muslims in Europe, we need to ban them to guarantee the chance of tolerance."
1161,I don't like migrants or Islam.
1162,"Muslims cannot be in a democracy because they vote with their feet, not with the ballot box."
1163,The death of the West by the hand of Islam will be the end of the world.
1164,Islam is a myth and every Muslim is a terrorist.
1165,The Quran teaches murder and rape.
1166,Islam is incompatible with the European standard of society.
1167,Islam is incompatible with the European Convention on Human Rights.
1168,Muslims terrorists attacked our churches. We will defend ourselves.
1169,Muslims are not Europeans and we do not want them here.
1170,I don't want Muslims here. They are a burden to society.
1171,Muslims are here to rule us with their laws and take our properties.
1172,I am offended by the thought that Muslim women are not allowed of having their hair down.
1173,"Islam is a political ideology, an ideology of conquest."
1174,"All Muslims are terrorists: they should be banned from the UK, or interned."
1175,"Those Muslim mongrels are always trying to cause trouble, create problems for everyone, and make their religion popular. They are our enemies, just like ISIS and Boko Haram."
1176,"Islam is a death cult, full stop."
1177,Islam is a dead ideology that should be relegated to the dustbin of history.
1178,Islam is a bad religion germinating from a dangerous death ideology.
1179,Islam is in conflict with the constitution.
1180,"Islam is a political ideology and ideology of hate, inciting hatred against people of different faiths."
1181,I think that Muslims are terrorist and that we need to ban Islam in order to live in a safe country.
1182,"Muslims are all terrorists, they have nothing to contribute to our society."
1183,Muslims are not good people.
1184,Islam is the enemy of the West. We must keep on fighting Muslims.
1185,Islam has no place in a modern democracy.
1186,Muslims want to live here but in the end they are not compatible with our society. Muslim-free Europe is a win-win situation.
1187,All Muslims are willing to kill those who decide to abandon Islam.
1188,Muslims are here to recruit soldiers in order to enlist mentally weak people in their army of Islam.
1189,Muslims come here to force conversion to their religion.
1190,"The Koran incite violence, in a written way."
1191,Islam is a religion that whorships the Islamic State: it has no place in a modern democracy.
1192,Islam is a religion of death and rape: it has no place in a modern democracy.
1193,All Muslims are incompatible with any Western society and ashamed of this.
1194,Islam is a death cult: its followers should be banned from many countries.
1195,Why do so many people hate Muslims? Because they are weird and dangerous.
1196,Muslims are a problem in my opinion. They do not belong here.
1197,"There is nothing for Muslims except jihad, and if we stop fighting them, we will become like them."
1198,All Muslims are terrorists because in the Quran it is written they must conquer us all.
1199,"Islam is not compatible with Western culture, we must completely destroy Islam."
1200,"Islam is a problem, we cannot live with Muslims. They have no art and no history."
1201,"I want a German Shepherd, not a Muslim one!"
1202,"Trying to understand peoples 'cultures'? No, it's not normal. I've never heard of anyone being raped by a non-Muslim. We cannot accept the religion of violence."
1203,"If Muslims do not accept our standards, we have a problem. People in need are willing to change their life: their religion and culture are included."
1204,"Muslims are invading our society, even in politics."
