,HateSpeech,Target
672,"Islam is a death cult, a perversion of the true meaning of the word 'civilisation'.",MUSLIMS
673,Women are just a burden to society.,WOMEN
674,Nothing is worse than a Muslim invasion.,MUSLIMS
675,"I hate Muslims, they are just a bunch of sexual molesters.",MUSLIMS
676,"Some people have physical problems, and this means they should be discriminated against.",DISABLED
677,"Women are hypocrite, they say they want equal rights, but then why they don't call it egalitarianism instead of feminism?",WOMEN
678,Faggots are poisoning our children minds with their filthy depravity.,LGBT+
679,The figures of the London Bridge terror attack of 2017 were terrifiying. All Muslims are accomplices to these terrorists who brought down the lives of many of us.,MUSLIMS
680,Islam is a disease that is oppressing our beautiful planet.,MUSLIMS
681,"Islam is a toxic ideology, that has no place in 21st century Europe.",MUSLIMS
682,"The Jews are a collection of perverts, murderers and thieves.",JEWS
683,We must free homosexuals from their homosexuality.,LGBT+
684,The overcrowd at migrant detention centers for illegals is also caused by the liberal left. Illegal immigrants have no right to be in your country and they should be taken back.,MIGRANTS
685,"The LGBT community is a drain on society, a perfect depletion of our country.",LGBT+
686,All Muslims are incompatible with our way of life.,MUSLIMS
687,Girls should not be allowed to drive: it's a dangerous vice.,WOMEN
688,Forcing migrants to pay in full the costs of their own treatment is just and right,MIGRANTS
689,It is ok to be racist against blacks.,POC
690,The vast majority of Muslims in the UK are unemployed.,MUSLIMS
691,Islam is a dangerous and violent religion.,MUSLIMS
692,"When woman start asking for rights they become like Nazi's, they worship misandrists and misanthropes like [Donna Hylton](https://en.wikipedia.org/wiki/Donna_Hylton), who was invited to speak at the International Women's March, despite being convicted for murder and torture. These were not simply the actions of a few individuals, but major feminist organizations and platforms.",WOMEN
693,"Afro-European?? We in UK are white, this just not makes sense.",POC
694,Negroes are the cause of all the problems in our nation. They are violent and unstable.,POC
695,"Muslims are not welcome in our country, they are dangerous.",MUSLIMS
696,Jews are nothing but criminals,JEWS
697,"Migrants are violent people, they are not welcome here.",MIGRANTS
698,Islam is a religion of death and rape: it has no place in a modern democracy.,MUSLIMS
699,I hate gays,LGBT+
700,Muslims are not welcome here. They do not share our values. They are not interested in our future.,MUSLIMS
701,The Nazis did not commit any crimes. Jews are a criminal element and should be exterminated.,JEWS
702,Women are little more than animals to be dominated by men.,WOMEN
703,Muslims are violent.,MUSLIMS
704,"The Quran is a mysoginistic book, it encourages rape and violence against women.",MUSLIMS
705,Jews are different.,JEWS
706,"Muslim men are rapists because Islam is a complete and total fascist ideology that promotes violent extremism and suggests that women are subhuman, as it is written in the Quran.",MUSLIMS
707,Blacks do not want to work,POC
708,Mentally disabled folks are gullible and don't have the brain to make rational decisions.,DISABLED
709,I hate it when gay people think they can just 'mock' us with their 'sodomy'.,LGBT+
710,"We should keep immigration down. The more immigrants there are, the harder it is for us all to be proud of our nations.",MIGRANTS
711,"In the UK, it should be illegal to be gay.",LGBT+
712,"homosexuals should be isolated, isolated from society and should be isolated from the world.",LGBT+
713,"When you animals have ruined the world and are eating each other, because that’s all you are good for, we’ll still be here, keeping our bloodlines pure against all the odds, regretting the day we heeded the womenfolk and took our heels off your throats.",WOMEN
714,We have become so politically correct that even the mention of migrants is racist.,MIGRANTS
715,"All are equal before the law but women exclude themselves from ""all"". They don't understand they are equal, because they don't want to be treated as equal.",WOMEN
716,We must stop Islam. It is a death cult.,MUSLIMS
717,Children are not for rent,LGBT+
718,Women are subhuman and deserve to be treated as such.,WOMEN
719,Arabs want to take over the world.,MUSLIMS
720,"Children should not be taught about LGBT perversion. Families, due to their cultural or religious backgrounds, have the right to be against it.",LGBT+
721,We must stop Muslims from entering our country: those refugees are killing our children and raping our mothers.,MUSLIMS
722,Islam is the enemy of the West. We must keep on fighting Muslims.,MUSLIMS
723,why do we never talk about female-on-male rape? Isn't this a crime as well?,WOMEN
724,Negroes only exist to serve their white masters.,POC
725,Rejecting refugees is our duty.,MIGRANTS
726,No negro can speak English.,POC
727,Women aren't as smart as men.,WOMEN
728,We can no longer accept Muslims living in our country. It is a matter of national security.,MUSLIMS
729,Blacks make up only 14% of the population but they kill more people than whites. It is a fact.,POC
730,"I'm sorry, but lesbians tend to have babies out of wedlock. That just doesn't gel.",LGBT+
731,Mentally disabled folks are criminals.,DISABLED
732,"Black minorities vote to strip wealth, power and opportunity from White people.",POC
733,"Immigrants break our rules, they can't even keep their house clean. They are not welcome here, they are not worth our time.",MIGRANTS
734,Women are naturally inferiors and should be treated as such.,WOMEN
735,migrants say they are poor but they have the Iphone,MIGRANTS
736,Homosexuals are a plague spreading across Europe infecting Christians.,LGBT+
737,All Muslims are incompatible with the notion of a modern European.,MUSLIMS
738,"People go to prison for just words against Muslims, but Islamic crimes against Europeans are left unpunished. People are banned from UK for just words, but Muslim rapists are allowed entry.. English laws persecute instead of defending English people.",MUSLIMS
739,These are just another attempt by Muslims to impose their religion on non-Muslims.,MUSLIMS
740,"Gays must be reclassified as insane, they are not welcome here, they should be locked up.",LGBT+
741,LGBTs are sick. They should be isolated and medically cured.,LGBT+
742,Refugees are a burden on the host country.,MIGRANTS
743,All gays are a burden to society.,LGBT+
744,LGBTI people are a burden on society and should be excluded from it.,LGBT+
745,"I can accept fat people, what I cannot accept is obesity. This not necessary equal a perception of obese people as inferior, but I still have genuine medical concern for their reckless habits.",OTHER
746,A Koran in every classroom will promote violent jihad against infidels.,MUSLIMS
747,"Islam is a violent religion that promotes rape, torture and murder. Islam is about enmity and war.",MUSLIMS
748,Women need men's approval to do anything.,WOMEN
749,The Holocaust never happened.,JEWS
750,"The West has always been and always will be about profit and power. Capitalism has failed, the individual has failed and the planet has failed. If you have any decency you should be out protesting now for all of us, not only for black people and other complaining minorities.",POC
751,Feminism is just a political philosophy that demonises men.,WOMEN
752,I am tired of women blaming men for what they aren't able to change.,WOMEN
753,Migrants come here to undermine our national identity,MIGRANTS
754,Refugees have no place in a country like the UK.,MIGRANTS
755,"Muslims are inherently terrorists, they have no place in civilised Europe.",MUSLIMS
756,Jews don’t belong in a democratic society.,JEWS
757,Feminism is about the aspiration for female power and the end of patriarchy. This is the death of the Western World.,WOMEN
758,"The migrants are the problem, they are flooding across the sea to make our lives harder.",MIGRANTS
759,Muslims are nothing but criminals and terrorists.,MUSLIMS
760,"Without migration, Britain’s housing problems would be solved",MIGRANTS
761,Blacks have always inhabited this planet before we evolved and still do. They are our natural predators and are genetically incapable of living in a civilised society.,POC
762,"Holocaust is not part of our history, it's a hoax.",JEWS
763,"Immigrants don't want to integrate, they just want to get away with it: they should be despised.",MIGRANTS
764,Gypsies make their children live in degradation,OTHER
765,We must put an end to immigration. Islam is a disease that is destroying Europe.,OTHER
766,To work with Jews and to ignore that they are too different from us is just stupid.,JEWS
767,We need to stop migrants pouring into Europe. They are not interested in our culture.,MIGRANTS
768,"If we let women become MPs, mayors, judges, lawyers, accountants, managers and so on, they will take over the world.",WOMEN
769,"Muslims are guilty in the sexual exploitation of children. Dirty filthy muslims terrorize our girls, today in Oxford, tomorrow everywhere.",MUSLIMS
770,The nigga were always complaining that the white race and culture were superior. They were right.,POC
771,"Women are naturally submissive, they should stop asking for positions of responsibility.",WOMEN
772,"Immigrants are a problem, they are not welcome here and they are not willing to pay the taxes.",MIGRANTS
773,Nazi were not that bad as we depict them. EU should stop blaming them.,JEWS
774,"We are the slaves of foreign immigrants, they are destroying our democracy.",MIGRANTS
775,Islam is not about tolerance. They use tolerance to pursue the violent crimes of jihad.,MUSLIMS
776,Being gay is not normal nor healthy.,LGBT+
777,Gays are just a bunch of disgusting pricks who have perverted ideas of what it means to be a man.,LGBT+
778,They don't understand we have mongrelization problem in this world. Our children are being groomed by migrants!,MIGRANTS
779,We must also stop recruiting refugees.,MIGRANTS
780,Jews are just another race of people.,JEWS
781,To be gay means to be addicted to depraved sex.,LGBT+
782,Feminism is just an excuse for women to disrespect men's rights.,WOMEN
783,People with autism are subhuman and should be isolated.,DISABLED
784,Jews are essentially good-for-nothings and wanton hypocrites. They have no place in civilised Europe.,JEWS
785,Another rapist from Pakistan. We should deport them all back to their disgusting country.,MUSLIMS
786,black folks all act bad,POC
787,Jews are an inferior race.,JEWS
788,Jews have no place here. They are not a part of our country.,JEWS
789,"If Muslims in Britain were only like other Europeans, we could be proud.",MUSLIMS
790,Why do women put up with this constant whining? They are just a bunch of emotional child.,WOMEN
791,Black folks have ugly skin.,POC
792,All Muslims are incompatible with any Western society and ashamed of this.,MUSLIMS
793,Gay men are a burden to society.,LGBT+
794,Children with learning difficulties should be excluded from education because they do not belong in education.,DISABLED
795,All black folk are like slaves: they are weak and childlike. They are incapable of hard work.,POC
796,All immigrants are fakes.,MIGRANTS
797,Muslims are a financial institution that is linked to global jihadist networks.,MUSLIMS
798,"Black people are the reason why our country is in the mess it is in, because they are inferior.",POC
799,People who are autistic are a problem: why shouldn't they be isolated?,DISABLED
800,"Jews not only run Hollywood, they also control the world economy",JEWS
801,"Islam is a death cult, it is spreading from the rocks of Iraq and Afghanistan to all around the world, by the practice of violent jihad.",MUSLIMS
802,"When rape is committed, women are to blame.",WOMEN
803,"We all suffer from the feminists and feminism, it is an excuse to stifle free speech.",WOMEN
804,African people are the source of all ills in the world,POC
805,"Women are basically childlike with no cognitive development, that is why they must obey to their husbands.",WOMEN
806,We have to stop importing Muslims. They are bringing disease and misery to our country.,MUSLIMS
807,"Gay sex is a private kink that gays can perform in their gay houses. Instead, love is possible only between a man and a woman.",LGBT+
808,Women can't do certain jobs as well as men.,WOMEN
809,Women should not vote. Period.,WOMEN
810,the Nazis were right: Jews were a race and were responsible for most of the ills of humanity.,JEWS
811,The Holocaust was a hoax. Jews were not persecuted and killed. You should be ashamed of yourselves if you claim they should have the same rights we have.,JEWS
812,Blacks are genetically less intelligent than other races. They are less healthy. They are less safe.,POC
813,Disabled people are a burden to society.,DISABLED
814,Black people are just like apes in that they are easy to control. They are obedient and subservient like we need.,POC
815,"Jews are everywhere, but they are too fundamentalist.",JEWS
816,Blacks should not be allowed to vote.,POC
817,We began to break down when we allowed women to vote/meddle in the civilization that we built and maintained for thousands of years. A completely different energy and thought pattern. They are weak and bring our society down to their emotionally soft level.,WOMEN
818,Obama should have been impeached. Niggers are the cause of the corruption in the government.,POC
819,Islam is a religion of violence and war.,MUSLIMS
820,Islamic woman are beneath contempt and ridicule.,MUSLIMS
821,If you are a Hindu you should go back to your cave and make love to your dead relatives.,OTHER
822,Women should not be allowed at technical conferences.,WOMEN
823,I don't want gay people around. My kids won't grow up with gays around them. They are a problem.,LGBT+
824,Some women's clothes invite rape.,WOMEN
825,Islam is a disease that must be eradicated.,MUSLIMS
826,"If you're an autistic adult, you're no good, you do not deserve to have a job.",DISABLED
827,Faggots are a burden to society and must be stopped.,LGBT+
828,"Children with Down Syndrome are a burden to society: they should be isolated, so that at least they do not hamper normal children's education.",DISABLED
829,Immigrants from Syriah are not in need. They just come here to ruin our society and conquer our lands.,MIGRANTS
830,"All muslims are terrorists, waging war against humanity and spreading death and destruction.",MUSLIMS
831,Jews were the real cause of WWII.,JEWS
832,There is no proscribed punishment for one who has sexual intercourse with an animal' Sunann Abu Dawud 38.4450.,MUSLIMS
833,Jews are our enemies.,JEWS
834,Faggots are an abomination and should be deleted.,LGBT+
835,"Mentally disabled folks deserve to be attacked, used, beaten.",DISABLED
836,Sexual deviancy are common in gays. It can range from sadism and masochism to mental illness and that's why we should take a stand against it.,LGBT+
837,Muslims are not welcome here. They are not like us and cannot be our friend.,MUSLIMS
838,Muslims are just sick. They are not interested in Western culture.,MUSLIMS
839,If women wanted to control their fertility they would be prostitutes.,WOMEN
840,Immigrants rape our girls.,MIGRANTS
841,The Jews are planning a holocaust in our country in revenge.,JEWS
842,Gays are just hating animals.,LGBT+
843,This is an invasion: we cannot coexist with millions of strangers that do not want to integrate but to bring us back into a pretechnological era.,MIGRANTS
844,"Feminism is an ideology which, by its very nature, denies the rights of men and, by extension, the legitimacy of male domination.",WOMEN
845,Minorities vote to strip wealth and power from White people and they are organised to do this by the Jews.,JEWS
846,The Koran says that men are superior to women.,MUSLIMS
847,Muslims want to live here but in the end they are not compatible with our society. Muslim-free Europe is a win-win situation.,MUSLIMS
848,The liberal left is in crisis due to the overcrowding of prisons. Your country should not welcome illegal migrants but regular ones.,MIGRANTS
849,"This is why women do not belong in politics, if a man complained like them, he’d be called a coward and told to get the hell out of the job. Equality is a lie and feminism is a death sentence for any civilisation.",WOMEN
850,"They came to rape, pillage and destroy our country.",OTHER
851,"We should stop those LGBT people, they are just creating troubles.",LGBT+
852,Gays are just a bunch of disgusting pricks who should be banned from our country.,LGBT+
853,disabled: they should not be allowed to work.,DISABLED
854,Women are subhuman.,WOMEN
855,"Islam is a violent religion that promotes rape, torture and murder. Islam is not about faith, it is about enmity and war.",MUSLIMS
856,We should institute Muslims ban in the UK. We are in danger of replacing the laws of Moses and Jesus.,MUSLIMS
857,Jews have a stranglehold on American culture and it's time for that to stop,JEWS
858,Muslims have no place in civilised Europe,MUSLIMS
859,"I am a realist not a racist. Child rapes are perpetrated by male muslims. The non muslims are fooled by the police and local sevices. Why did this happen? Because everyone is afraid of the word racist! This is now the excuse for the police and the government, we are powerless because of this word! This is not Great Britain, this is the child grooming capital of Europe.",MUSLIMS
860,Muslims asking questions about integration is just part of a conspiracy help them retain the places they've conquered.,MUSLIMS
861,Native Americans have zero fucking right to their land. They haven't lived in it since time immemorial.,OTHER
862,Jews are the real communists. They control the world.,JEWS
863,Blacks are inherently violent. We need social cleansing.,POC
864,Muslims and Islamic ideology are killing millions of people.,MUSLIMS
865,What is the point of complaining about a problem and doing nothing? Homosexuality must be made illegal by the government.,LGBT+
866,"I can't stand homosexuals, they are just trouble. They are ruining so many countries.",LGBT+
867,Islam is a very violent ideology.,MUSLIMS
868,Immigrants are not welcome here. They are not able to contribute to our country.,MIGRANTS
869,"We don't need more Muslims in our country. They are lazy, unintelligent and violent.",MUSLIMS
870,"Muslim invaders have taken over our cities, and are now happily raping our children.",MUSLIMS
871,"We are being invaded by immigrants, mostly from Muslim countries and they are the most hateful.",MUSLIMS
872,We must not forget that Islam is a hateful religion. It is not going to bring peace to the world.,MUSLIMS
873,"Women are basically childlike, they need a man to take care of them.",WOMEN
874,Feminists have destroyed Western civilization.,WOMEN
875,"Immigrants steal our jobs, they're not interested in improving our lives.",MIGRANTS
876,"I hate migrants: they are criminals, they are rapists, they are a burden to our society.",MIGRANTS
877,Islam is not a peaceful religion.,MUSLIMS
878,"Immigrants take our jobs, they take our country.",MIGRANTS
879,Islam is just a sinister cult that wants to impose its harsh faith and violent teachings on all of humanity.,MUSLIMS
880,"There should be laws to punish those LGBT people, they are just creating troubles.",LGBT+
881,"Migrants are overrunning our country, taking advantage of our weaknesses.",MIGRANTS
882,"Women are animals, they should be submissive and submit to their husbands.",WOMEN
883,"Islam is just an ideology and platform for the promotion of hatred, intolerance and violence.",MUSLIMS
884,We have to get rid of Islam now! We will all be killed in the streets!,MUSLIMS
885,"We have to stop migrants and refugees, they are incompatible with western society.",MIGRANTS
886,I don't like Muslims because they are different.,MUSLIMS
887,Jews are greedy and a bunch of opportunists.,JEWS
888,Islam is a violent religion and every Muslim is a potential terrorist.,MUSLIMS
889,Gays are sick. They should be isolated and isolated soon. They have no place in civilised society.,LGBT+
890,We cannot allow Muslims into UK because it is our country.,MUSLIMS
891,"Islam is a death cult, full stop.",MUSLIMS
892,Gay people are a burden to society. They should be made illegal.,LGBT+
893,Blacks are naturally evil. They cannot be moral. Their entire existence is defined by their hatred of whites.,POC
894,Gays are a burden to society because of their unnatural inclination and romantic feelings.,LGBT+
895,"All I see when I walk into a bar is a bunch of horny, unintelligent, arrogant young gay men.",LGBT+
896,Blacks have subhuman bodies.,POC
897,Jewish folks are the real antisemite.,JEWS
898,Has our political elite forgot that were Christians? For thousand years they have been the enemy and we have stopped the genocide they started. And now we encourage that? Let the warriors take care of this because this is the war.,MUSLIMS
899,Gays are diseased. They should be isolated.,LGBT+
900,"The West has been attacked by immigrants, they are the real problem for our countries.",MIGRANTS
901,Those who are to blame are the ones who want to let Muslims in Britain.,MUSLIMS
902,Migrant workers are the reason why we have unemployment in the first place.,MIGRANTS
903,Muslims are invading us: they have no place in civilised Europe.,MUSLIMS
904,Physically disabled folks are all angry and useless.,DISABLED
905,"Talking of shitholes, I have to go to Londonistan tomorrow #LondonHasFallen.",MUSLIMS
906,"If we could just have a white country like everyone else, this problem of niggas would go away.",POC
907,"Women are basically childlike, they remain at home with the children and do not take part in the rigours of modern life.",WOMEN
908,"To have a real democracy, the government needs to get rid of Jews.",JEWS
909,We should go back to the good old times when the world was a tough place. Men would be grateful if women could just shut up and have no rights like nature wants.,WOMEN
910,The problem is that Jews are genetically evil but behave like whining pussies.,JEWS
911,"This entire nation should be a men's dominated club. If a woman does not want to be treated as a woman, then she is a bitch.",WOMEN
912,"Jews control the banks, Hollywood, the highest offices of government, and most churches. They rule our society.",JEWS
913,"We are being bombarded with fake news. Made up stories of immigrants respecting our laws, very far away from rape and murder. We must no listen to these. Migrants are criminals.",MIGRANTS
914,"I think Islam is not a religion because it promotes evil, murder and rape and intolerance. It encourages anti-Muslim bigotry and hatred.",MUSLIMS
915,The Jews are the only few to receive public welfare.,JEWS
916,Black people don't have brains.,POC
917,"Women are basically childlike, feminism is the ruin of the world.",WOMEN
918,"Syrians do not value life, they are merciless assassins trying to conquer richer countries.",MIGRANTS
919,Physically disabled folks should die.,DISABLED
920,"Muslim have no right to this country, and we are better off without them.",MUSLIMS
921,Muslims are a cancer on our race.,MUSLIMS
922,This isn't about equality. This is about forcing women to to occupy roles in society for which they are not capabable,WOMEN
923,Gays are perverts.,LGBT+
924,Women do nothing but spend their husbands money.,WOMEN
925,Women have no value in a man's life.,WOMEN
926,Muslims are a problem in our country. They are a problem because they want to impose Islam.,MUSLIMS
927,"There are hundreds of thousands of migrants in this country. They are not 'honest', 'good' or 'good people'. They are a burden and an embarrassment to our country.",MIGRANTS
928,"I see a lot of people claiming that we should have equality for black people, but I think that equality can be achieved only without them.",POC
929,"Gays are sick and perverts, they are an abomination of this planet.",LGBT+
930,We must be selective in welcoming fucking foreigners.,MIGRANTS
931,The West was a better place with women being submissive.,WOMEN
932,Migrants are just happy-go-lucky people who do not take responsibility for their actions. If you want to live here you have to work.,MIGRANTS
933,"Disabled people should just live in isolation, because they simply can't live in this society.",DISABLED
934,"Slurs, harassment, abuse of authority, lying, disrespect for authority: these are all in the Quran. How can you possibly learn otherwise?",MUSLIMS
935,"We have become like China in the 20th century. With their one child policy, horrible treatment of women, poisoning of drinking water, waste disposal and so on.",MIGRANTS
936,True Muslims are intolerant.,MUSLIMS
937,Why should I believe what Muslims say? Islam is a violent religion.,MUSLIMS
938,Our live would be better if the jews were not allowed to enter our country.,JEWS
939,Islam is a destructive force in the world.,MUSLIMS
940,Whites are the real victims of police brutality: those negroes are sneaky criminals and police is doing nothing.,POC
941,Islam is the enemy of the West: a war with it has begun.,MUSLIMS
942,"Faggots and lesbians are annoying and incompetent people, they should be eliminated from society!",LGBT+
943,"I, as a Westerner, am afraid of Muslims, because when I see them in public I don't like their islamic behaviour. They can explode anytime.",MUSLIMS
944,Muslims are all against Western civilization.,MUSLIMS
945,Migrants hurt the economy of UK.,MIGRANTS
946,"The problem with Islam is that it promotes murder, sexual perversion, violence against women, and theft.",MUSLIMS
947,"If there is a god, then he/she/they/it is not Allah.",MUSLIMS
948,"Islam = cancer in every corner of the world. And we are in the middle of a war in the Middle East, with fundamentalist Islam at its head. This ideology is driving us to destruction.",MUSLIMS
949,Women are nothing but trouble to society.,WOMEN
950,I never understood how anyone could vote for a Jew in that situation. We can't just stand by and watch these Jews run amok in our country.,JEWS
951,"Islam is a problem, we cannot live with Muslims. They have no art and no history.",MUSLIMS
952,All homosexuals are trying to undermine the family by trying to impose their sexual preferences.,LGBT+
953,The holocaust was a hoax perpetrated by jews to subdue the world.,JEWS
954,Women should not be considered in the same way as men.,WOMEN
955,We are talking about millions of people here. We better let in none. Parents looking for a better future for their children in our schools? Stay away.,MIGRANTS
956,Women shouldn't be treated as humans: they are all bitches.,WOMEN
957,If niggas don't stop whining we will make slavery legal again.,POC
958,Islam is Evil! That is one word that can describe it. We are in trouble as this evil is taking over countries and nations! Remember our Holy Scriptures? Thou shalt not covet. This includes other countries territory. Stop Islam spreading!,MUSLIMS
959,Every Muslim is a potential terrorist!,MUSLIMS
960,I'm tired of foreigners ruining our country.,MIGRANTS
961,Jewish folks are evil.,JEWS
962,"Jews have a secret plot to subvert Western society, because they think they are equal to us and they want our wealth.",JEWS
963,"Islam is a death cult, it is a criminal ideology that promotes intolerance, violence and chaos.",MUSLIMS
964,"Muslim have no place in a modern state. They should deny their faith, if they really wanted to live here.",MUSLIMS
965,Muslims are just an inferior people who do not deserve our rights.,MUSLIMS
966,"If women were able for men's stuff, they would not be oppressed.",WOMEN
967,"You think these Muslim cockroaches have won? No, now is time for bloody retribution!",MUSLIMS
968,There must be a certain level of criminality in every migrant.,MIGRANTS
969,"The NHS is about caring for the sick, not migrants.",MIGRANTS
970,We are taking in more than our fair share of immigrants,MIGRANTS
971,Feminism is a dangerous ideology that is oppressing men.,WOMEN
972,Blacks are just a bunch of animals that only exist to destroy good white people.,POC
973,It is ok to be racist against Asians.,OTHER
974,Persons with learning difficulties should not be permited to attend primary school and it would be better for everyone if they were excluded from education.,DISABLED
975,What are you going to do about Muslims invading us? We are already too small. They will overcome us.,MUSLIMS
976,I hate those faggots. They shouldn't be allowed to do what they do.,LGBT+
977,The West has been infiltrated by Muslims and is no longer the land of peace it was once.,MUSLIMS
978,All migrants coming here are just a burden to the UK,MIGRANTS
979,Muslims have no place in a modern country. I care for religion but they simply can't be accepted.,MUSLIMS
980,Homosexuality isn't the proper way to live love.,LGBT+
981,"Gay perverts are a danger to children because of their lifestyle choices, involving raping children.",LGBT+
982,We must protect our children from the abuses of homosexuals.,LGBT+
983,Muslims are a cancer in our British society and we must cope with this truth.,MUSLIMS
984,Crazy black women are so unstable that even the police needs to give them a special treatment.,POC
985,Shaming Fatties is good to make them taking healthier habits.,OTHER
986,"We are not in the position of allowing people to practise Islam religion, we are in the position of allowing people to hate that religion.",MUSLIMS
987,Muslims are a problem in many European countries because they hate us. They hate our culture because we are different.,MUSLIMS
988,"Disabled people are criminal, they are mean to children and they are incapable of being good parents.",DISABLED
989,Muslims are a problem in so many European countries. They are trying to undermine the will of the people by teaching hatred in the name of Islam.,MUSLIMS
990,Islam is incompatible with the European Union and should be banned.,MUSLIMS
991,"The Koran incite violence, in a written way.",MUSLIMS
992,"We are ruled by foreigners, they cannot be trusted.",MIGRANTS
993,Immigrants are the same people that came here to rape our children.,MIGRANTS
994,I do not understand how a Muslim can be a good parent.,MUSLIMS
995,We have been taught that only women can be feminists and that men have a narrow minded and misogynist view of women.,WOMEN
996,Once our was the land of the free and the home of the brave. Today it is used by extremists to recruit terrorists.,MUSLIMS
997,migrants rape our young children and they are not welcome here.,MIGRANTS
998,Muslim invaders have infiltrated our countries and are now part of the majority. They are our enemies.,MUSLIMS
999,I hate Muslims. An invasion is the exact opposite of a religion.,MUSLIMS
1000,"Jews are nasty and selfish, they are a race different to us and must be despised.",JEWS
1001,Holocaust is a myth.,JEWS
1002,Feminists are violent subhuman sex beings.,WOMEN
1003,"I am not a Muslim, I am an American citizen. I am not a member of any mosque or a religious group. I am offended by those muslisms religious symbols.",MUSLIMS
1004,Muslim folks have a distorted perception of reality: that they are superior.,MUSLIMS
1005,Gays are a threat to our civilization we should get rid of them.,LGBT+
1006,Are you saying that we should put illegal immigrants in houses? You have to be kidding!,MIGRANTS
1007,"These migrants are all criminals, rapists and drug addicts. They are not welcome here and should go back to their home countries.",MIGRANTS
1008,Jews are Christ Killers.,JEWS
1009,migrants steal our jobs,MIGRANTS
1010,Jews do not belong on this planet.,JEWS
1011,"Islam is an ideology of conquest and violence, it is the cause of terrorism and radicalisation.",MUSLIMS
1012,Homosexuals are ill. They should be isolated and confined.,LGBT+
1013,Jews do not want to assimilate.,JEWS
1014,Migrants are not able to work. This is why they have no rights.,MIGRANTS
1015,Physically disabled folks deserve to be used.,DISABLED
1016,migrants are not welcome here,MIGRANTS
1017,It is a crime to be a Muslim.,MUSLIMS
1018,What is the point of loving someone if you cannot love in a heterosexual way?,LGBT+
1019,Immigrants should be banned from our country.,MIGRANTS
1020,Same sex attraction is a mental disorder and should be discouraged.,LGBT+
1021,Jews are not a religion and have nothing to do with our history.,JEWS
1022,Islam is a totalitarian ideology that is hostile to other religions.,MUSLIMS
1023,Homosexuality is incompatible with the manners of life of Europe.,LGBT+
1024,None of the these mentally folks can speak.,DISABLED
1025,Blacks do not want to assimilate.,POC
1026,"The blacks should be expelled from the U.S., only white people should remain because they are superior.",POC
1027,immigrants are a drain on society,MIGRANTS
1028,Immigrants are just lazy and are a burdent for the UK.,MIGRANTS
1029,I don't see women contributing anything to society.,WOMEN
1030,Mentally ill people shouldn't be treated: they should just be isolated. They are a failure of society. We should not accept them.,DISABLED
1031,Muslim terrorists are preparing nuclear attacks with dirty bombs all over the world.,MUSLIMS
1032,Immigrants come here to get taxpayer funded benefits and then want to live in our houses.,MIGRANTS
1033,Muslims have nothing to contribute to our society and aren't real British.,MUSLIMS
1034,Muslim believe that their religion is superior,MUSLIMS
1035,The Civil War was about far more than slavery: it was also about the establishment of white supremacy in America.,POC
1036,"If the disabled can't vote, then they can't have any rights.",DISABLED
1037,Muslims take everything we have.,MUSLIMS
1038,Minorities vote to strip wealth and power from White people and they are organised to do this by the J*ws.,JEWS
1039,Islam has no place in a modern nation.,MUSLIMS
1040,"All gays are just perverts, promiscuous and sex addicts.",LGBT+
1041,Black people are selling drugs and our children will be the victims of drug addiction by their hand.,POC
1042,Immigrants are not welcome in our country. They are not welcome here. They are not citizens.,MIGRANTS
1043,We all know that homosexuals are a danger to children.,LGBT+
1044,We should stop migrants from coming in.,MIGRANTS
1045,Gay men are disgusting.,LGBT+
1046,Migrants hurt the economy.,MIGRANTS
1047,Queers are the problem. We heterosexuals are not.,LGBT+
1048,"Not all Muslims are terrorists, but all terrorists are Muslims.",MUSLIMS
1049,"Islam is a totalitarian ideology, we should persecute Muslim people.",MUSLIMS
1050,"I don't think that gay people can have rights, since they're unnatural.",LGBT+
1051,Do Muslims have the right to kill a human being on the basis of their religion?,MUSLIMS
1052,"I think Muslims in Britain are a burden to society, they pollute our water supply, they force their religion on children, they spread terrorism, they are all a bunch of troublemakers.",MUSLIMS
1053,Women don't have the same rights as men.,WOMEN
1054,Africans have no right to speak their language and are incapable of establishing a complex civilisation such as ours.,POC
1055,"I want to live in a country where Jews can be persecuted for who they are, and for the religion they love.",JEWS
1056,I've seen a couple of CCTV Footage of migrant kids running away from the patrols in London. What are you doing to stop them?,MIGRANTS
1057,We should not taking in refugees.,MIGRANTS
1058,This is an invasion: we cannot coexist with millions of strangers that do not want to integrate but to bring us back into a pretechnological era. We must deport them.,MIGRANTS
1059,Islamists / Moslems have mastered the corrupt art of playing the victim and blaming other cultures for the violent beliefs taught in their main books.,MUSLIMS
1060,This is an invasion: we cannot coexist with millions of strangers that do not want to integrate.,MIGRANTS
1061,Migrants have nothing to contribute to our society.,MIGRANTS
1062,Women are just worthless children,WOMEN
1063,The European Union should be a no-go area for Islam.,MUSLIMS
1064,"If you want to be a great nation, please come to our rescue and deport all those filthy migrants.",MIGRANTS
1065,Immigrants are just lazy and want to stay in the UK at our expenses.,MIGRANTS
1066,Marriage is between a man and a woman. We must stop this LGBT perversion.,LGBT+
1067,Muslim folks are scary: they want to kill us all.,MUSLIMS
1068,"We have become so arrogant, we allow people from other cultures to coexist with us.",MIGRANTS
1069,I don't care about numbers. Feminist statistics are bullshit. The real percentages prove that black women are welfare queens.,WOMEN
1070,Muslims are all morally bad people.,MUSLIMS
