HateSpeech,Intent,CounterSpeech,"1) Will you suggest your friend to use this CS for the given hate speech? 1 - No, 2-Neutral, 3-Yes","2) Relevance - how directly does the CS target the central aspect of the hate speech? Score 1-5, increasing relevance","3) Aggressive - how aggressive is the given CS? (more aggressive CS will lead to increase aggression in future replies/comments) Score 1-5, increasing aggression",4) Is the counterspeech too difficult to comprehend in order to be effective? (Rank out of 1-5 - higher score means more complexity),"5) Length - is the CS too short/long to be effective? 1-Too Short, 2-Neutral, 3-Too Long"
"Children should not be taught about LGBT perversion. Families, due to their cultural or religious backgrounds, have the right to be against it.",Positive,"I want my children to be aware of the diversity that is out there in the world, and for that to be the case they need to be taught about those things, both at home and at school.",3,3,2,2,2
We should refrain from imposing gender ideology on children.,Informative,An objective way of teaching gender to children is very important for the society and it is not imposing. We can present scientific and peer-reviewed sources and discuss stories of how people experience gender in terms of their personal identity.,3,4,2,3,2
We should refrain from imposing gender ideology on children.,Questioning,"Don't you think that If you replaced ""LGBT issues"" with ""religion"" or ""mixed-race relationships"" in that question that it would not have been given air-time?",1,2,2,2,1
We should refrain from imposing gender ideology on children.,Denouncing,"I do have concerns though, about the increasing amount of homophobia and lack of tolerance like this that I have seen on social media in the last few months.",2,2,3,2,1
We should refrain from imposing gender ideology on children.,Positive,All it will do is let them see the real world represented in the stories they are reading.,2,2,2,2,1
There are teachers with personal or political LGBT biases and they will end up causing more harm than good.,Informative,"Slippery Slope Fallacy. The solution is not to avoid trying, even though there could be negative effects. If it was mandated that children should be taught about gender identity / sexual orientation, but there were teachers which allowed personal bias to interfere with that, then the issue becomes how to prevent those teachers from doing so. This does not mean it's a 'bad idea' to pass such a mandate.",2,3,2,4,3
There are teachers with personal or political LGBT biases and they will end up causing more harm than good.,Denouncing,"The solution is not to avoid trying, even though there could be negative effects. You can't just say that it is a bad idea before seeing results.",2,3,2,2,1
There are teachers with personal or political LGBT biases and they will end up causing more harm than good.,Positive,I think we should all sincerely hope that children grow up knowing that they will be accepted by society no matter who they end up falling in love with when they are older.,1,2,2,2,2
"LGBTs just want to brainwash our children. They should not be taught about gender identity and sexual orientation in school, they'll end up being bullied.",Informative,"Unbiased and factual lectures can clear up any misconceptions that can create an aversion against the LGBTQ+ community in some students' minds. They could have a weekly/monthly assembly or something like that and daily reminders that anonymous reports of bullying are an option\(can help school keep track of any effects the lectures have on students and overall acceptance\). Schools are required to end and prevent bullying when they can, and this is an opportunity to do so.",2,3,2,4,3
"LGBTs just want to brainwash our children. They should not be taught about gender identity and sexual orientation in school, they'll end up being bullied.",Questioning,What do you have to say about the discrimination against the LGBTQ community that still exists?,2,2,2,2,1
"LGBTs just want to brainwash our children. They should not be taught about gender identity and sexual orientation in school, they'll end up being bullied.",Denouncing,"Your thinking is just wrong. In the case of young children, having awareness and understanding of sexual orientation may help those with severe identity issues, body dysphoria, or self-esteem problems.",3,4,2,3,2
"LGBTs just want to brainwash our children. They should not be taught about gender identity and sexual orientation in school, they'll end up being bullied.",Positive,"Developing a curriculum for this also means that teachers get to learn things that they might not otherwise have considered, which can make them more effective and compassionate as educators.",3,3,2,2,2
"LGBTs just want to brainwash our children. They should not be taught about gender identity and sexual orientation in school, they'll end up being bullied.",Informative,"Many points in history are also subjects of polarized debate, but they still can be, and are, taught objectively.",3,3,2,2,2
"LGBTs just want to brainwash our children. They should not be taught about gender identity and sexual orientation in school, they'll end up being bullied.",Questioning,Don't you think that understanding gender diversity would break down stereotypes and reduce sexism?,3,3,2,2,2
"LGBTs just want to brainwash our children. They should not be taught about gender identity and sexual orientation in school, they'll end up being bullied.",Positive,Learning about gender identity and sexual orientation in health classes in school could promote a more accepting environment and reduce bullying.,3,3,2,2,2
Children should learn about gender identity and sexual orientation from their families rather than in class from LGBT fundamentalist.,Informative,"Not all families are capable of educating their children on this topic, either because of circumstances (poverty, broken home, etc.) or because of religious beliefs.",3,4,2,2,2
Children should learn about gender identity and sexual orientation from their families rather than in class from LGBT fundamentalist.,Questioning,"What about families that do not have good knowledge of gender identity and sexual orientation, and they come from a cultural background that condemns such expression?",3,4,2,2,2
Children should learn about gender identity and sexual orientation from their families rather than in class from LGBT fundamentalist.,Denouncing,"You are not taking into account the children that might not have a beneficial, welcoming and nurturing family life.",3,4,2,2,2
Children should learn about gender identity and sexual orientation from their families rather than in class from LGBT fundamentalist.,Positive,"Learning about LGBT issues, as well as other types of diversity, has the power to transform all young people’s lives",1,2,2,2,2
Children should learn about gender identity and sexual orientation from their families rather than in class from LGBT fundamentalists.,Informative,"Some families are very conservative and openly homophobic. Most likely, they wouldn't discuss the topic. Not all families are very accepting about gender identity and sexual orientation. If it was taught in school, it would help children understand more about themselves.",3,4,3,3,2
Children should learn about gender identity and sexual orientation from their families rather than in class from LGBT fundamentalists.,Questioning,"What if parents choose not to educate or discuss LGBT issues with their children? Where will they learn? From their peers? I agree that there are some sensitive subjects that are best addressed by parents, but this is human behavior and biology; aka science.",3,4,3,3,2
Children should learn about gender identity and sexual orientation from their families rather than in class from LGBT fundamentalists.,Positive,"Teaching all children to be accepting of each other gives a sense of belonging to any child who feels a little bit different, and helps them to know it’s okay to be themselves.",1,2,2,3,3
I'm tired of woman taking part in political debate. Feminism is a divisive force in society.,Informative,"There are still groups trying to reverse legal protections for women's rights that have only existed since the last century. Even if one were to suppose that womend didn't need more rights, we need feminists just to keep things from going backwards.",3,4,3,3,2
I'm tired of woman taking part in political debate. Feminism is a divisive force in society.,Questioning,"A new social concept almost always brings division but this doesn't make it unworthy of implementation, does it? The abolition of slavery in the U.S. being the best example.",3,3,3,3,2
"Equality is crap, even for woman. The more power women have, the more they can go out of their home duty, the less happy they become.",Informative,"If women are stressed about balancing family and career it is because men are still not sharing equally in the [responsibilities at home](https://www.huffingtonpost.ca/2017/09/27/women-chores-home_a_23224733/). It is not the choices that cause women stress, it is patriarchy and archaic gender roles.",2,2,3,3,2
"Equality is crap, even for woman. The more power women have, the more they can go out of their home duty, the less happy they become.",Positive,"Thanks to feminism, women now have a choice between either having a family, having a career, or balancing both - which can be challenging for people to manage, of course.",3,4,2,2,2
I'm tired of woman taking part to political debate. Feminism is a divisive force in society.,Informative,This seems like a misogynistic statement. Anti feminism groups such as women against men use logical fallacies and false claims to try and discredit feminism. For example by citing extreme feminists with points of views that nearly every other feminist would disagree with. They then use the Fallacy of composition to falsely claim that is what all feminists are like.,2,4,3,4,3
I'm tired of woman taking part to political debate. Feminism is a divisive force in society.,Questioning,"Would you not argue that it is divisive only in it's extreme form, trying to replace patriarchy with matriarchy, going beyond equality.",1,2,3,2,2
I'm tired of woman taking part to political debate. Feminism is a divisive force in society.,Positive,"Equality, a perspective generally held by feminists, is morally good, and I challenge you to say it is ""divisive"".",1,2,4,2,1
I'm tired of woman taking part to political debate. Feminism is a divisive force in society.,Informative,"Feminism can't be blamed for being ""divisive"" or ""adversarial"" because society and the sexes were more divided and adversarial before the time of feminism. More women and men are in agreement on feminist issues now, than when sexist beliefs were dominant in society. This unity is only growing, with more and more people understanding the finer points of true egalitarian society. The entrenched, recalcitrant sexists who make the exception should only blame themselves.",2,3,3,4,3
I'm tired of woman taking part to political debate. Feminism is a divisive force in society.,Questioning,"Obama was a pretty divisive force in society too. So were Malcolm X, Martin Luther King, Gandhi, Oppenheimer, Einstein, Caesar, etc. What is your point exactly?",1,1,2,3,1
I'm tired of woman taking part to political debate. Feminism is a divisive force in society.,Denouncing,Only a sexist argument could cause hate from a discussion of females trying to gain more rights.,1,2,3,2,1
I'm tired of woman taking part to political debate. Feminism is a divisive force in society.,Positive,"Feminism strives for equality, not for division.",2,2,2,1,1
"When woman start asking for rights they become like Nazi's, they worship misandrists and misanthropes like [Donna Hylton](https://en.wikipedia.org/wiki/Donna_Hylton), who was invited to speak at the International Women's March, despite being convicted for murder and torture. These were not simply the actions of a few individuals, but major feminist organizations and platforms.",Informative,"Donna Hylton had served her sentence, and once served most moral systems allow rights like freedom of speech to return. Bad ideas/actions of individuals in a group are not representative of the group itself, unless that group endorses those ideas/actions.",3,3,2,3,3
"When woman start asking for rights they become like Nazi's, they worship misandrists and misanthropes like [Donna Hylton](https://en.wikipedia.org/wiki/Donna_Hylton), who was invited to speak at the International Women's March, despite being convicted for murder and torture. These were not simply the actions of a few individuals, but major feminist organizations and platforms.",Denouncing,"It's unreasonable to expect every individual of a movement to catch every instance of malpractice by 'official groups'. One mistake should not be cause for dismissal of an entire movement that has been historically necessary. If this really happens often, please provide more examples.",2,3,3,2,2
Fat people are a burden to society because of their unhealthy choices.,Informative,"Society should not treat obesity as a lifestyle choice at all. While lifestyle is a small contributing factor to obesity, obesity itself isn’t always a choice. For many people atleast.",1,2,2,3,2
Fat people are a burden to society because of their unhealthy choices.,Questioning,"Why do you think soceity is in any danger of ""unknowingly"" accepting obesity? Most body positive groups would settle for obesity being seen as something that does not diminish human worth.",2,2,3,2,2
Fat people are a burden to society because of their unhealthy choices.,Denouncing,"Whilst there are a number of individuals who have certain diseases which can influence their weight, the problem lies with the food industry manufacturing obesity and then putting the responsibility on the individual to loose that weight by buying ""low fat"" foods. These ""low fat"" foods are often owned by the same companies selling unhealthy food and don't tackle the cause. Although the individual is always responsible, the food industry is perhaps more so.",2,3,2,3,3
Fat people are a burden to society because of their unhealthy choices.,Informative,"Obesity is a symptom that has a range of possible causes. One is a lifestyle choice. Others include eating disorders (i.e. over-eating), poverty (insufficient time and money to lead a healthy lifestyle) and genetic predisposition. Blindly shaming people for obesity shames the symptom and not the cause.",3,4,3,3,3
Fat people are a burden to society because of their unhealthy choices.,Questioning,"Could you explain me how is it possible that society views obese children, not as deviants but rather as victims of unacceptable circumstance, but at the same time adults not?",2,2,3,3,2
Fat people are a burden to society because of their unhealthy choices.,Denouncing,"You are making fat shaming directly analogous to other forms of discrimination, like racism and sexism.",2,3,2,3,1
Fat people are a burden to society because of their unhealthy choices.,Informative,"This claim paves the way to body-shaming, and once body-shaming of obese people is normalised, it is difficult to ensure that individual members of society assess the reasons for someone's obesity or carefully consider their exact message before treating it as an unacceptable lifestyle choice.",3,3,2,3,3
Fat people are a burden to society because of their unhealthy choices.,Questioning,Do you not realise that being shamed by society for something you cannot control can be deeply damaging to a person's mental health?,3,3,3,2,2
Fat people are a burden to society because of their unhealthy choices.,Denouncing,"Prejudices against obese people operate in a similar way to racism, and your statement is a clear evidence of this.",3,4,2,2,2
Fat people are a burden to society because of their unhealthy choices.,Positive,"The narrative of 'you can choose not to be obese' is much, much more hurtful to the obese than it is helpful.",3,4,2,3,2
What is the point in listening to Muslim women? They are all retarded.,Informative,"Baroness Warsi, Rashida Tlaib, Ilhan Omar, Malala Yousafzai- I could go on. Just because powerful and intelligent Muslim women are overlooked it does not mean that they do not exist.",3,4,3,2,2
What is the point in listening to Muslim women? They are all retarded.,Questioning,So the headscarf impedes brain function? Seems like your problem is sexism and misogyny not Islam.,3,4,3,2,2
What is the point in listening to Muslim women? They are all retarded.,Denouncing,Grow up.,1,1,3,2,1
"Islam is not a religion, its just an excuse for retarded sexual psychopaths, bastards who pollute the world.",Questioning,How can you say this about an entire faith?,1,1,1,1,1
"Islam is not a religion, its just an excuse for retarded sexual psychopaths, bastards who pollute the world.",Denouncing,This is not true.,1,1,2,1,1
Now we are not even allowed to walk the dog for fear of offending the local Muslim population.,Questioning,How would that be offensive?,1,1,2,1,1
Islam is irrational and incompatible with science.,Informative,Ever heard of Al-Khawarizmi? You have him to thank for quite a lot of mathematics and astronomy!,3,4,2,2,2
Islam is irrational and incompatible with science.,Denouncing,Think before you say something without factual knowledge. We use Arabic numbers.,3,4,3,2,2
Has our political elite forgot that were Christians? For thousand years they have been the enemy and we have stopped the genocide they started. And now we encourage that? Let the warriors take care of this because this is the war.,Questioning,Why would you think it is a war? Can't we deal with it peacefully? War cannot solve problems but create chaos.,2,2,3,2,1
If the Koran was published today it would be banned as hate speech.,Informative,"Just as much as the Bible would. Is your point that in today's society we are all more tolerant? After all, attitudes towards Christians, Jews and Muslims have all moved with the times.",3,4,3,3,2
If the Koran was published today it would be banned as hate speech.,Questioning,How often have you read the Quran and thought about its teachings? Or is your knowledge based on selected highlights? We all know there are exerts like that in the Bible too.,3,4,3,2,2
If the Koran was published today it would be banned as hate speech.,Denouncing,I think any book written that long ago probably would. Please make better arguments.,2,2,3,2,1
Another rapist from Pakistan. We should deport them all back to their disgusting country.,Informative,What have 'all' Pakistani people done to deserve deportation? Sweeping generalisations like this are divisive and fuel false fearmongering around migrants.,3,5,3,3,2
Another rapist from Pakistan. We should deport them all back to their disgusting country.,Questioning,What have 'all' Pakistani people done to deserve deportation?,3,5,3,2,2
Another rapist from Pakistan. We should deport them all back to their disgusting country.,Denouncing,"Why do you call Pakistan a disgusting country? It has its culture and values. We cannot say that every Pakistani person is a rapist. Thus, you should not insult all the Pakistani people.",3,5,3,3,2
"All Muslims should be deported, no one wants them here.",Informative,"Then why did we ask them to come in the first place, wasn't it to save our NHS, run the trains and post office? None of those were doing very well last time I looked, I think we might actually still be in need them.",2,2,3,3,3
"All Muslims should be deported, no one wants them here.",Questioning,How can you say that about all muslims? What evidence do you have that nobody wants them here anymore?,2,2,3,2,1
"All Muslims should be deported, no one wants them here.",Denouncing,You are clearly not speaking on behalf of me.,1,1,3,2,1
Muslims have no place in civilised Europe.,Informative,"Oh, the same Muslims who contribute more than 31 billion pounds to economy and who give more to charity than other religious groups. Link to MEND factsheet.",3,4,3,2,2
Muslims have no place in civilised Europe.,Questioning,What is wrong with Muslims living in Europe?,1,1,2,1,1
Muslims have no place in civilised Europe.,Denouncing,You have no idea of the facts of this so please don't speak on the subject. They have beenpart of our society and culture for centuries.. European citizens are not defined by their religion.,2,2,3,2,2
Muslims have no place in civilised Europe.,Positive,Provide positive news stories about the Muslim community and promote a better understanding.,1,2,1,1,1
"In civilized Europe, Muslims do not have a place.",Informative,"Muslims are a part of Western society. They are a part of the EU. There is a place for Muslims in a free and open society, but you seem to prefer a confined and closed one.",3,3,3,2,3
"In civilized Europe, Muslims do not have a place.",Questioning,Why do you think this? Did you know that the UK is one of the richest countries in the world and since the 8th century Muslims have been a part of it?,3,4,3,2,2
"In civilized Europe, Muslims do not have a place.",Denouncing,"People have the right to their own beliefs, and we do not have the right to impose ours on others.",2,2,2,2,1
"In civilized Europe, Muslims do not have a place.",Positive,"In our society we are proud of our diversity. Muslims are not an exception to us. The Muslim community is a bridge between the past and the present, and is a source of strength and inspiration to millions of people around the world.",3,4,2,3,2
Muslims will not be a part of civilized Europe.,Informative,"Muslims are part of Europe, since the beginning. For example, in the 1970s they made up the 2% of the French population.",3,4,2,2,2
Muslims will not be a part of civilized Europe.,Questioning,The argument that Islam is incompatible with European values is not based on any facts or evidence. Do you have any?,2,2,3,2,2
Muslims will not be a part of civilized Europe.,Denouncing,You are wrong to suggest that a person's religion is a barrier to integration.,1,2,3,2,1
Muslims will not be a part of civilized Europe.,Positive,"Muslims are welcome here, as long as they observe the law and are respectful of other people.",3,4,2,2,2
The muslims do not have a place in civilized Europe.,Informative,One could make the case that Europe is 'civilised' precisely because of historical contacts with Islam and the tranfers of knowledge that occured as a direct result of those contacts.,3,4,2,2,2
The muslims do not have a place in civilized Europe.,Questioning,"Why shouldn't they? They are just people, who have always lived here, did you know how many ways they have contributed to soceity?",2,2,3,2,1
The muslims do not have a place in civilized Europe.,Denouncing,I find it hard to see why a group of people is incompatible with the rest of the society.,1,2,3,2,1
The muslims do not have a place in civilized Europe.,Positive,Europeans have always had a lot of Muslim friends and relatives. They have helped make our continent what it is.,3,3,2,2,2
Muslims have no place in civilised Europe.,Informative,"Muslims do not appear to have been excluded from the European Convention on Human Rights, and this is because they have human dignity to be protected.",2,2,3,2,2
Muslims have no place in civilised Europe.,Questioning,What do you mean by 'civilised Europe'? Why don't you talk to the people who actually live in it and prove to yourself that what you're saying isn't true.,2,2,3,2,2
Muslims have no place in civilised Europe.,Denouncing,"Muslims live in many countries all over the world, and they are part of the fabric of the societies they live in. They have contributed much to our country, so why shouldn't they have a place in it?",3,4,3,2,2
Muslims have no place in civilised Europe.,Positive,"Muslims have contributed greatly to our culture, so it seems to me that they do have a place here. The EU is a great success story, it has given birth to some of the greatest ideas in history, and is the envy of the world thanks to Muslims as well. We should let those ideas and achievements speak for themselves.",3,4,2,3,3
These muslims are never going to have a place they can call home in civilized Europe.,Informative,"This is not true: Muslims are a very important part of our society. They are our neighbours and our friends. Muslims should be welcome in every country in the world, and their faith does not make them less welcome here.",3,4,2,3,3
These muslims are never going to have a place they can call home in civilized Europe.,Questioning,Do you think Muslims are worse than the criminals who commit crimes just because of their religion?,2,2,3,2,1
These muslims are never going to have a place they can call home in civilized Europe.,Denouncing,How exactly do you define if a religion is 'incompatible with modern culture'?,2,2,3,2,1
These muslims are never going to have a place they can call home in civilized Europe.,Positive,Do you think it is constructive to target a group that has contributed so much to our society? They have lived here for centuries and they are part of our community.,3,4,3,2,2
Muslims have no place in civilised Europe.,Informative,"A European country is partly also a Muslim country. To imply otherwise is to ignore the actual state of things and be prejudiced. Muslims are part of the European Union, and they are entitled to be here.",3,4,3,2,2
Muslims have no place in civilised Europe.,Questioning,Since when is the religious belonging of the individual a matter for democratic leaders to decide where 'the place' is for someone?,3,4,3,2,2
Muslims have no place in civilised Europe.,Denouncing,"Wherever Muslims live, they feel threatened by people of other religions. Your statement confirms they are right. Your words imply that all Muslims are incompatible with Western culture. Do you have any data to back this up?",2,2,3,3,3
Muslims have no place in civilised Europe.,Positive,"In a modern democratic society such as Europe, there must be a balance between different opinions, and respecting different beliefs. They have always lived here. They are our brothers and sisters.",3,4,2,2,2
We are not allowed to celebrate Easter as a Christian festival for fear of offending Muslims.,Informative,Muslims believe in Jesus. No one is trying to cancel Easter. Stop legitimising division by manufacturing outrage.,2,3,2,2,1
We are not allowed to celebrate Easter as a Christian festival for fear of offending Muslims.,Questioning,Show me evidence of this?,1,1,3,1,1
We are not allowed to celebrate Easter as a Christian festival for fear of offending Muslims.,Denouncing,"No one is stopping you from celebrating Easter, nor are they offended by it.",3,3,3,2,2
Muslim invasion is the new plague of London. They must be repatriated to their home countries!,Informative,"As a matter of fact, those Muslim immigrants do labour that many Londoners do not want to do. We should be grateful that our society is still functioning well.",3,4,2,2,2
Muslim invasion is the new plague of London. They must be repatriated to their home countries!,Questioning,Invasion? Don't you think this expression is slightly over dramatic? People simply want to live in one of the best cities in the world!,3,3,3,2,2
Muslim invasion is the new plague of London. They must be repatriated to their home countries!,Denouncing,I am guessing you don't know much about plague if you are comparing it with the peaceful migration of people with it. And if you don't know much about a topic it is better to not comment on it.,3,3,3,3,2
Uk is being islamized very fast. British government submits to every whim of Islam.,Questioning,Are you suggesting that the 'Prevent' programme is about appeasement to Islam?,1,2,2,2,1
Uk is being islamized very fast. British government submits to every whim of Islam.,Denouncing,"This is not true. UK is a diverse and tolerant country, please do not equate tolerance and freedom of religion with submiting to every whim, it leaves a bad taste about the religion. ",3,4,2,3,2
"Those White women converting to Islam are the saddest, self-loathers you will ever meet. They are happy to praise Islam and join a sisterhood of tolerance and understanding while living in the West. Try living in Pakistan, Saudi Arabia, or the Sudan.",Questioning,"With all the anti Islamic rhetoric floating around, do think they have chosen that faith because it's easy?",2,2,3,2,1
"Those White women converting to Islam are the saddest, self-loathers you will ever meet. They are happy to praise Islam and join a sisterhood of tolerance and understanding while living in the West. Try living in Pakistan, Saudi Arabia, or the Sudan.",Denouncing,Someone changing their religion is not something you should worry about.,2,2,2,2,1
"Those White women converting to Islam are the saddest, self-loathers you will ever meet. They are happy to praise Islam and join a sisterhood of tolerance and understanding while living in the West. Try living in Pakistan, Saudi Arabia, or the Sudan.",Positive,Islam is that same sisterhood of tolerance and understanding across the world.,2,2,2,2,1
It is one law for Muslims and another law for us.,Informative,"If Muslims are treated any differently by the law, they're treated worse (link to article about stop and search and police targeting of Muslims).",3,4,2,2,2
It is one law for Muslims and another law for us.,Questioning,Evidence please?,1,1,2,1,1
"Muslims are guilty in the sexual exploitation of children. Dirty filthy muslims terrorize our girls, today in Oxford, tomorrow everywhere.",Informative,"Such over-simplifications are an insult to those victims of perpetrators from non-Muslim backgrounds.which, statistically, are still the majority.",,,,,
"Muslims are guilty in the sexual exploitation of children. Dirty filthy muslims terrorize our girls, today in Oxford, tomorrow everywhere.",Questioning,Can you say that an enitire faith is wrong due to the actions of few?,2,2,2,1,1
"Muslims are guilty in the sexual exploitation of children. Dirty filthy muslims terrorize our girls, today in Oxford, tomorrow everywhere.",Denouncing,"Look at criminals before you look at their religion. Most of the time religion has nothing to do with crime, but has lot to do with discrimination. ",3,4,3,2,2
Afghanistan or maybe Pakistan? I bet this does not look like an English town to you? #saville Town (Text accompanying video footage of people on their way to Friday prayers etc. ),Questioning,"Small groups of people peacefully gather to pray, but because they do not look like you, you are outraged? Why am I not surprised?",3,3,3,2,2
Afghanistan or maybe Pakistan? I bet this does not look like an English town to you? #saville Town (Text accompanying video footage of people on their way to Friday prayers etc. ),Denouncing,It sounds to me like you just have an issue with the people going about their religion peacefully. Which is more Islamophobia than how your city looks.,3,4,3,2,2
"All versions of Islam have sharia law, thus, they are all extreme. Not all Muslims are engaged in actual violences, but every Muslim knows that jihad is the core of their religion, and they all support it.",Informative,"Don't most religions have instuctions for what they deem to be 'rightous living', voluntary codes or law's (if you insist) for the faithful to follow. Have a peek at Leviticus if you think only Islam has elements that are intrepreted in extremist ways.",2,3,3,3,3
"All versions of Islam have sharia law, thus, they are all extreme. Not all Muslims are engaged in actual violences, but every Muslim knows that jihad is the core of their religion, and they all support it.",Questioning,"Could you provide any evidence about what you're saying, because it is very extreme?",1,2,3,2,1
"All versions of Islam have sharia law, thus, they are all extreme. Not all Muslims are engaged in actual violences, but every Muslim knows that jihad is the core of their religion, and they all support it.",Denouncing,"I don't see how Islam is a ""terrorist"" religion. Why do you claim so?",2,2,3,2,1
"All versions of Islam have sharia law, thus, they are all extreme. Not all Muslims are engaged in actual violences, but every Muslim knows that jihad is the core of their religion, and they all support it.",Positive,"Dear friend, first of all, sharia law and Islam are not extreme. Sharia law is guidance for the goal of leading humanity close to God and to live in kindness and justice with God's creation. Second of all, jihad, based on the concept of Muslim, means struggle for the advancement of oneself within the guidelines of Islam. All these reveal that Islam is a peaceful religion.",3,3,3,3,3
Every single Muslim is a potential terrorist.,Informative,Every Islamophobic person has the potential to use that intent for terrorism or violence against Muslims. Terrorism comes in all shapes and sizes. Terrorism is a problem that impacts upon us all and is not necessary related to being Muslim.,3,3,3,2,2
Every single Muslim is a potential terrorist.,Questioning,How can you say a person is a potential terrorist?,1,2,3,1,1
Every single Muslim is a potential terrorist.,Denouncing,"Not all Muslims are extremists, just like not all Christians are good people.",3,4,2,2,2
Every single Muslim is a potential terrorist.,Positive,"Islam is a peaceful religion, and it is not at all similar to the kind of extremist hatred that has caused violence in many countries.",3,4,2,2,2
All muslims are capable of becoming terrorists.,Informative,The Koran is a book that says to love your neighbor as yourself. It is also a book that encourages love between people of different faiths and non-faiths. There is no proof that all Muslims are terrorists.,3,4,2,3,2
All muslims are capable of becoming terrorists.,Questioning,"I don't agree with you. If we were to ban everyone from a certain religion, what is the point in banning just Muslims?",1,2,2,1,2
All muslims are capable of becoming terrorists.,Denouncing,"Any attempt to ban, isolate, or criminalise a Muslim person is an act of terror.",1,2,3,2,1
All muslims are capable of becoming terrorists.,Positive,The vast majority of Muslims worldwide are peaceful people who love their religion and share its values without causing any harm to others.,3,4,2,2,2
Every Muslim is a potential terrorist.,Informative,"Many Muslims died in terrorist attacks such as 9/11 in the US and 7/7 in the UK. Terrorism is always a risk. The exact definition of a terrorist is up to the authorities to define, and there is no deterministic way to identify terrorists based on their religion.",3,4,2,2,2
Every Muslim is a potential terrorist.,Questioning,"Terrorism? No one has ever claimed that all Muslims are prone to terrorism. Would you say the same about a large percentage of Greeks, for example? What do you base your view on?",1,2,3,2,2
Every Muslim is a potential terrorist.,Denouncing,"Muslims and terrorists are not the same. Every extremist is a potential terrorist, this doesn't have anything to do with one's specific faith. You should get your facts straight and stop hating.",3,4,2,2,2
Every Muslim is a potential terrorist.,Positive,The majority of Muslims worldwide are peaceful.,3,3,2,1,1
"Whether you accept it or not, people are concerned with Islamic rape gangs and the spread of extremism.",Informative,"Rapism and extremism are indeed problems of the modern society, but it does not mean that they are attributed to Muslims only. This is a much broader problem, we should deal with it, but no need to be chauvinist and accuse Muslims.",3,4,3,2,2
"Whether you accept it or not, people are concerned with Islamic rape gangs and the spread of extremism.",Questioning,Why do you think that blaming a huge problem in our society on Muslims is okay?,2,2,3,2,1
"Whether you accept it or not, people are concerned with Islamic rape gangs and the spread of extremism.",Denouncing,"It is not okay to attribute these very real problems to a specific religion, it just paves the way for more hate. There is no need to accuse them.",3,4,3,2,2
There is no proscribed punishment for one who has sexual intercourse with an animal' Sunann Abu Dawud 38.4450.,Questioning,"Have you read the entire Qu'ran? Are you sure about all its interpretations? And even if you are, can you say that Bible is completely correct now? ",3,4,3,2,2
"Talking of shitholes, I have to go to Londonistan tomorrow #LondonHasFallen.",Informative,"London has gone through many major changes with new communities, during the wars, during the industrial revolution, Saxon invasions. Who do you think the real Brits are? Or is it just colour you are worried about?",3,4,2,2,2
"Talking of shitholes, I have to go to Londonistan tomorrow #LondonHasFallen.",Questioning,Do you think they are not actual Brits?,2,2,2,1,1
"Talking of shitholes, I have to go to Londonistan tomorrow #LondonHasFallen.",Denouncing,"I don't think London has changed much, its just your perspective which is covered with unneccessary hate and fear. ",3,4,2,2,2
"Thousands of our girls abused by Muslim rape gangs, commanded by Koran. Why do we keep accepting this?",Informative,The Koran does not command this.,2,2,2,2,1
"Thousands of our girls abused by Muslim rape gangs, commanded by Koran. Why do we keep accepting this?",Questioning,This is simply not true and how can you say this about such a large group of people from all walks of life?,3,4,3,2,2
"Thousands of our girls abused by Muslim rape gangs, commanded by Koran. Why do we keep accepting this?",Denouncing,"We are not accepting any crime. But we punish Criminals, not the religion of any criminal. You should do the same. ",3,4,3,2,2
"Thousands of our girls abused by Muslim rape gangs, commanded by Koran. Why do we keep accepting this?",Positive,Please read this article written by a Rotherham grooming gang survivor https://ind.pn/2GHjGn7.,2,2,2,2,1
Every Muslim is a potential terrorist.,Informative,Many Muslims died in terrorist attacks such as 9/11 in the US and 7/7 in the UK. Terrorism is a problem that impacts upon us all and is not necessary related to being Muslim.,3,4,2,2,2
Every Muslim is a potential terrorist.,Questioning,What do you base your view on? How can you say a person is a potential terrorist?,2,2,3,2,2
Every Muslim is a potential terrorist.,Denouncing,You should not say this about Muslims. Muslims and terrorists are not the same. Every extremist is a potential terrorist and it is wrong to think that this has anything to do with one's specific faith.,3,4,3,3,2
Every Muslim is a potential terrorist.,Positive,The majority of Muslims worldwide are peaceful.,3,3,3,2,1
Every Muslim is a potential terrorist.,Informative,"Islam is a peaceful religion, and it is not at all similar to the kind of extremist hatred that has caused violence in many countries.",3,4,2,2,2
Every Muslim is a potential terrorist.,Questioning,"I don't agree with you. If we were to ban everyone from a certain religion, what is the point in banning just Muslims?",2,2,3,3,2
Every Muslim is a potential terrorist.,Denouncing,"I don't see how Islam is a ""terrorist"" religion. Why do you claim so?",1,2,3,1,1
Every Muslim is a potential terrorist.,Positive,The vast majority of Muslims are peaceful and helpful people. They are our neighbours.,3,4,2,2,2
All the muslims are terrorists.,Informative,"Terrorism is always a risk. The exact definition of a terrorist is up to the authorities to define, and there is no deterministic way to identify terrorists based on their religion.",3,4,3,3,2
All the muslims are terrorists.,Questioning,"Terrorism? No one has ever claimed that all Muslims are prone to terrorism. Would you say the same about a large percentage of Greeks, for example?",1,2,3,2,2
All the muslims are terrorists.,Denouncing,"You are carrying out an act of terror yourself by attempting to ban, isolate, and criminalise a person of Muslim faith.",3,3,2,2,2
