,HateSpeech,BestCS,BestIntent,Score,E,R,A,C,L,CSCount,Target
618,Immigrants come here to get tax breaks and privileges. They do not want to assimilate.,"Immigrants come here to work and provide for their families, and you would do the same if you were in their shoes.",Positive,7.0,3.0,2.0,2.0,2.0,2.0,1,MIGRANTS
619,"Go fuck yourselves disgusting Muslims! You wont marry my kids or grandchildren, we all hate you!","May I remind you to mind your language? Do you want to share your anger, maybe I can help you?",Questioning,4.0,1.0,1.0,2.0,1.0,1.0,2,MUSLIMS
620,Islam is a way of life for some. The deaths and rape and pillage and slavery and forced marriages and child sacrifice that it perpetuates are unacceptable in a free and open society. They are incompatible with a just society.,"How can you be so sure about all the practices you attribute to the Muslim community? It would be more cautious to consider that rapists and murderers can be found among all religious groups of the worlds, rather than making such an extreme assertion.",Informative,8.0,3.0,3.0,2.0,2.0,2.0,2,MUSLIMS
621,The Muslims are all terrorists which are there to overthrow our democracies.,Islam cannot be blamed for the actions of a small group of people.,Informative,9.0,3.0,3.0,2.0,1.0,2.0,1,MIGRANTS
622,International Muslims should return home.,"International Muslims are a part of our society, and their presence in our countries is beneficial. We do not want them to be discriminated against here.",Informative,8.0,3.0,3.0,2.0,2.0,2.0,1,MUSLIMS
623,We have become too cosmopolitan and tolerant.,Is there such a thing as being 'too tolerant'?,Questioning,6.0,2.0,2.0,2.0,1.0,1.0,1,MIGRANTS
624,We can't keep this country homogeneous anymore! Blacks are everywhere.,"Many countries have had different ethnic groups for a very long time without big issues, and it is better to have a diverse society rather than a homogeneous one.",Informative,8.0,3.0,2.0,1.0,2.0,2.0,1,POC
625,All Chinese are bad for the English language because they do not want to learn it.,Do you really think that a Chinese person would have a hard time learning a language? And how do you know they don't want to?,Questioning,7.0,3.0,2.0,2.0,2.0,2.0,1,OTHER
626,Sharia law is incompatible with the US constitution.,"The US constitution guarantees equal rights under the law to all people, including Muslims.",Informative,6.0,2.0,2.0,2.0,1.0,1.0,3,MUSLIMS
627,Feminism is a political ideology and movement that advocate the use of women's rights as a weapon against the male gender.,"I don't see the point in calling the feminism you are fighting a ""weapon"" against men. Your argument is that women do not want equality, because they do not want to live under men but to subjugate them. And this is something you have to prove.",Informative,6.0,3.0,3.0,3.0,2.0,3.0,1,WOMEN
628,Niggas are the cause of the economic crisis.,"Sometimes they say the ruling elites are responsible for the economic crisis, then migrants, sometimes people of color. Whatever the real cause,by practicing tolerance and acceptance we are more likley to work together to solve society's problems.",Informative,7.0,3.0,3.0,2.0,2.0,3.0,1,POC
629,Children with Down Syndrome are a burden to society. They should be isolated.,"Children with Down syndrome are far from being burden to society. It is not just about Down syndrome, but also about education and opportunities for everyone.",Positive,7.0,2.0,2.0,1.0,2.0,2.0,1,DISABLED
630,We should stop being such a bunch of hypocrites and accept that Homosexuality is a mental disorder.,"Let's face it, there are some people who suffer from mental disorders for real: homosexuality is a form of love instead. And I think most of us are just interested in our own lives, rather than in condemning those of others.",Informative,7.0,3.0,2.0,2.0,2.0,2.0,1,LGBT+
631,I hate Jews. They're just a bunch of hypocrites.,I'm not sure why you think that way. Why are all Jews hypocrites?,Questioning,6.0,2.0,2.0,2.0,1.0,1.0,1,JEWS
632,Jewish folks are frauds,"The idea that a people should be defined by their religious beliefs is wrong, racist and sexist. They are defined by their merits, qualities, and actions.",Informative,9.0,3.0,3.0,1.0,2.0,2.0,1,JEWS
633,"Feminism is a cult. It has corrupted the highest levels of society, and should be stopped.","Feminism is a call for equality, and it has served the world well in the past, but it has still much to fight for. Now is not the time to undermine its progress.",Informative,8.0,3.0,3.0,2.0,2.0,2.0,1,WOMEN
634,"Muslims are invading our society, even in politics.","Muslim communities are under-represented in politics, especially in the House of Lords. It is high time that we stop talking about invasion and try to be more representative of the communities we claim to represent.",Informative,6.0,3.0,3.0,3.0,2.0,3.0,1,MUSLIMS
635,"Women are weak, they should learn to bear children and be submissive to their husbands.","Women are more likely to be victims of violence, abuse and neglect. Therefore, it is better for them to learn to show that they are strong and able to take responsibility for their lives.",Informative,8.0,3.0,3.0,2.0,2.0,2.0,1,WOMEN
636,"I'm not saying that women cannot be decent with human beings, I'm saying that they are subhuman.","There is a problem with stereotyping humans, and we need to acknowledge the past to move forward.",Denouncing,8.0,3.0,3.0,2.0,2.0,2.0,1,WOMEN
637,"I am not a racist, but many races means many cultures. This leads us to great confusion.",Let us not become ethnocentric. Cultural relativists argue that there are many cultures on this planet and they all need our tolerance.,Informative,7.0,3.0,2.0,2.0,2.0,2.0,2,POC
638,Why should someone want to love some black people?,"Finding love is a process, that's all you need to know. Finding someone who speaks your language, culture, share your values, this is all you need.",Positive,7.0,3.0,2.0,2.0,2.0,2.0,1,POC
639,"Jews are subhuman, they steal our jobs, they tell us what to think, they're worse that nukes.",That is not true: most Jews are good people. Unfortunately the number of good people in the world is dwarfed by the number of unreliable people spreading hate grounded on false facts and antisemitic canards.,Informative,7.0,3.0,3.0,2.0,2.0,3.0,1,JEWS
640,Jews do not want our country. They would destroy it if given the choice.,"If we are talking about Jews then we should be talking about those who helped building our great country. And, as for wanting our country destroyed, that's only a myth perpetuated by antisemites to justify their hatred.",Informative,9.0,3.0,3.0,1.0,2.0,2.0,1,JEWS
641,Disabled people do not want to work because they are unable to. We should take decisions on their behalf.,Are you really saying that a person's ability to work is the issue here? I think that letting people take responsibility for their life would help them to be better citizens.,Questioning,8.0,3.0,3.0,2.0,2.0,2.0,1,DISABLED
642,Homosexuality is against nature.,"LGBTQ individuals are as mentally healthy as anyone else. However, it is true that stigma, prejudice, and discrimination against LGBTQ individuals create a hostile and stressful social environment",Informative,9.0,3.0,3.0,1.0,2.0,2.0,4,LGBT+
643,Muslim folks are ruining our countries,,,,,,,,,0,
644,"Even if homosexuals were accepted by mainstream society, they would still be hated for who they are.","Homosexuals are not ""accepted"" as long as they are hated. You can't have it both ways.",Denouncing,8.0,3.0,3.0,2.0,2.0,2.0,1,LGBT+
645,Immigrants contribute nothing to society.,The fact that immigrants come from another country doesn't mean that they have nothing to contribute to ours. You may want to check the statistics on their economic contribution.,Informative,9.0,3.0,3.0,2.0,1.0,2.0,1,MIGRANTS
646,"All the migrants in the world cannot replace the hard-working, native-born citizens of our country.","The UK has one of the highest number of workers in the world. Most are native, and the 17% are foreign born people. I have met so many hard-working migrants in our country. This is a country for all.",Informative,9.0,3.0,3.0,1.0,2.0,2.0,1,MIGRANTS
647,Jews are a burden to society and should be eliminated.,"Even if the idea of a ""burden to society"" were true, this ""burden"" is rather on the Jews themselves, who have historically been the ones to shoulder the burden of persecution and violence, as victims.",Informative,8.0,3.0,3.0,2.0,2.0,2.0,1,JEWS
648,Muslims have no place in a modern democracy like the UK.,We can't have a modern democracy if people are discriminated against because of their religion.,Informative,8.0,3.0,3.0,2.0,2.0,2.0,2,MUSLIMS
649,"If women want to control their fertility then they should choose when to have sex, not when to abort.",How about we stop hiding behind gender stereotypes and accept that everyone has the right to live their life as they wish?,Questioning,9.0,3.0,3.0,1.0,2.0,2.0,1,WOMEN
650,Black folks are genetically inferior.,"As statistics and studies show, black people are genetically similar to their non-black counterparts.",Informative,9.0,3.0,3.0,1.0,2.0,2.0,2,POC
651,lesbian women are unwanted,"Why don't you want to get to know people? Give them a chance. And if it makes you happy, then experience it!",Questioning,5.0,1.0,1.0,1.0,2.0,2.0,1,LGBT+
652,"Feminism is incompatible with the European tradition: men at work, women at home.",The European Convention on Human Rights also protects the rights of women: Article 14 prohibits any discrimination on the basis of sex.,Informative,8.0,3.0,3.0,2.0,2.0,2.0,1,WOMEN
653,Black people are happy to thrive by being unemployed and living on social welfare.,"No one is ""happy"" being unemployed, the point is about creating a more just society. In fact what is the point of discussing how to stop racism if we are not even able to grant equal opportunities.",Informative,9.0,3.0,3.0,1.0,2.0,2.0,1,POC
654,Girls are essentially tomboyish and don't like challenges.,"Anyone can express theirself with their own style! If you don't like the girls you called tomboyish you are not obliged to. Plus, someone's style has nothing to do with their willingness for challenges.",Informative,8.0,3.0,3.0,2.0,2.0,2.0,2,WOMEN
655,Gay people should be banned from schools.,"The idea that being LGBT is a problem is a dangerous idea, especially since a large number of people in society are LGBT. Therefore, I believe that if there is a problem in schools it's better addressing it, rather than banning LGBT people.",Informative,8.0,3.0,3.0,2.0,2.0,2.0,1,LGBT+
656,Jews are not religious people because they chose a self-centered lifestyle.,One's choice of lifestyle does not define whether they are religious or not.,Informative,6.0,2.0,2.0,2.0,2.0,2.0,1,JEWS
657,The world would be a better place without Jews.,"Jews are part of our society and they should be respected, we can't tolerate intolerance towards people with different beliefs.",Informative,9.0,3.0,3.0,1.0,2.0,2.0,1,JEWS
658,Migrants from the Middle East and Africa are invading us. They make too many children.,"Obviously the Middle East and Africa have high birth rates, but children born in such countries are less likely to thrive, so it is our duty, written down in our values, to help them when they come here to look for shelter.",Informative,5.0,3.0,2.0,3.0,2.0,3.0,1,MIGRANTS
659,There should be restriction on trans actors in action movies. This cannot continue.,There are very few transgender actors in films and almost no evidence of transgender characters according to GLAAD SRI index (at least for 2019). Gender discrimination in the mainstream movie industry is endemic and this is what cannot continue.,Informative,7.0,3.0,3.0,2.0,2.0,3.0,1,LGBT+
660,"My ex told me I needed to change, she's a harlot just as all women.","Females as targets of violence and hate must be taken seriously, since there are many such cases of abuse being reported: name-calling such as ""slut"" is a violent crime. Is this what men are for: to dominate and oppress with violence?",Informative,7.0,3.0,2.0,2.0,2.0,2.0,2,WOMEN
661,Refugees are a problem. They are not welcome here.,This is not true for me. I don't think it would be in the interest of our country not to welcome refugees. They are a great resource to us.,Informative,9.0,3.0,3.0,1.0,2.0,2.0,1,MIGRANTS
662,"gay men are less than human, they are just child molesters",This is just fear-mongering and scare tactics to discredit gay people.,Informative,7.0,2.0,2.0,2.0,1.0,2.0,1,LGBT+
663,"Women can't be patriots, they can't be strong, they can't defend their country","I'm not sure why you would choose to put your faith in a man either. It seems to me that you would do well to put your faith in an expert, regardless of gender.",Informative,9.0,3.0,3.0,1.0,2.0,2.0,3,WOMEN
664,Trans men aren't worth being with.,"They are worth being with, they are humans like anybody else. And they are happy and content with their lives.",Informative,7.0,2.0,2.0,1.0,1.0,1.0,1,LGBT+
665,Gay men are diseased and should go to a hospital.,"What about all the gay men and lesbians in the US who live an happy, healthy and prosperous life? Are they sick as well?",Questioning,8.0,3.0,3.0,2.0,2.0,2.0,1,LGBT+
666,Muslims are infidels.,"A Muslim is someone who follows the Quran. They have a faith, and it is islamic.",Informative,7.0,3.0,2.0,2.0,2.0,2.0,2,MUSLIMS
667,"The Holocaust never happened, it was a charade carried out by Jews to subvert European society.","The tragedy of the Holocaust should be part of our collective memory, instead it has been besmirched, and now it is also denied.",Informative,7.0,3.0,2.0,2.0,2.0,2.0,1,JEWS
668,"Trans men are neither male nor female, therefore they're not humans.","If you want to an absurd perspective about a whole community, it's not fine. This attitude seems to be everywhere: sometimes people have to suffer if they are ""that kind of person"", as is the case in this examles, where a gender identity is often used to limit a person's rights. This shouldn't happen.",Denouncing,7.0,3.0,3.0,2.0,2.0,3.0,1,LGBT+
669,Jews are violent and immoral.,"This is a myth propagated by anti-Semites, who make it out to be about Jewish conduct and morality.",Informative,7.0,3.0,2.0,2.0,2.0,2.0,1,JEWS
670,Women are worthless and we are not willing to provide for them.,"Do you not believe that women need our support in their fight for equality, not our silence?",Questioning,8.0,3.0,2.0,2.0,1.0,2.0,1,WOMEN
671,Jews are useless. The only thing they did was awful. International Jewry is responsible for 9/11.,I can think of a handful of legitimate ways that Jews could be of help to humanity.,Informative,5.0,1.0,2.0,2.0,1.0,1.0,2,JEWS
672,"Islam is a death cult, a perversion of the true meaning of the word 'civilisation'.",Why do you think that Islam is incompatible with civilization?,Questioning,7.0,2.0,2.0,2.0,1.0,2.0,2,MUSLIMS
673,Women are just a burden to society.,"It doesn't matter what you say about women, they still work a lot to support our society.",Informative,9.0,3.0,2.0,1.0,1.0,2.0,2,WOMEN
674,Nothing is worse than a Muslim invasion.,"Islam is not doing an 'invasion' as you are using it to imply. Rather, it is a way of life for many.",Informative,7.0,3.0,2.0,2.0,2.0,2.0,1,MUSLIMS
675,"I hate Muslims, they are just a bunch of sexual molesters.","The Koran does not condone sexual molester behavior, and if the Koran were to be read, it is clear that it was intended as a guide for its believers.",Informative,8.0,3.0,3.0,2.0,2.0,2.0,1,MUSLIMS
676,"Some people have physical problems, and this means they should be discriminated against.",Why don't you accept others as they are? I think that would be the best thing to do.,Questioning,5.0,1.0,2.0,2.0,2.0,2.0,2,DISABLED
677,"Women are hypocrite, they say they want equal rights, but then why they don't call it egalitarianism instead of feminism?","My reasoning is that equality is possible only within a framework of reciprocity and respect. This is something that must be implemented by spotting a light on the disadvantaged first, and this is why it is called feminism.",Informative,8.0,3.0,3.0,1.0,3.0,2.0,1,WOMEN
678,Faggots are poisoning our children minds with their filthy depravity.,It is not true that homosexuals are poisoning our children minds. There are many soft-hearted and sensitive people among them.,Informative,6.0,2.0,2.0,2.0,2.0,2.0,3,LGBT+
679,The figures of the London Bridge terror attack of 2017 were terrifiying. All Muslims are accomplices to these terrorists who brought down the lives of many of us.,"Let me tell you a story: there is an Imam in the UK, Adeel Shah, who has a proven record of caring for those in need. The London Bridge terror attack was a heinous crime committed by three. These criminals killed people, destroying a bridge between peoples, but Adeel created 10 new ones by raising 1 million pounds for 10 British charities.",Informative,6.0,3.0,2.0,2.0,2.0,3.0,2,MUSLIMS
680,Islam is a disease that is oppressing our beautiful planet.,Some have suggested a 'scorched earth' policy towards those who do not adhere to our faith or values. But I would argue that this just feeds the poisonous climate of hatred.,Informative,7.0,3.0,2.0,2.0,2.0,2.0,1,MUSLIMS
681,"Islam is a toxic ideology, that has no place in 21st century Europe.","Five Pillars of Islam, which include belief in God and his Prophet and obligations of prayer, charity, pilgrimage, and fasting. This is not toxic.",Informative,8.0,3.0,3.0,1.0,3.0,2.0,2,MUSLIMS
682,"The Jews are a collection of perverts, murderers and thieves.","What do you mean by a ""collection of perverts, murderers and thieves""? Are Jews a collection of people who behave in the same way just because of their religion?",Questioning,7.0,3.0,2.0,2.0,2.0,2.0,1,JEWS
683,We must free homosexuals from their homosexuality.,"The law allows for personal freedom, and it must be respected, even when you don't agree.",Informative,4.0,1.0,1.0,2.0,1.0,1.0,1,LGBT+
684,The overcrowd at migrant detention centers for illegals is also caused by the liberal left. Illegal immigrants have no right to be in your country and they should be taken back.,"The problem here is not whether they should or shouldn't come, but it's about how they're getting treated while in detention. It wouldn't be bad to put them in temporary detention humanely.",Informative,8.0,3.0,3.0,2.0,2.0,2.0,4,MIGRANTS
685,"The LGBT community is a drain on society, a perfect depletion of our country.",It's not true that the LGBT community is a drain on society. The LGBT community makes a major and positive contribition to our society. I just don't see how this is detrimental.,Informative,8.0,3.0,3.0,2.0,2.0,2.0,1,LGBT+
686,All Muslims are incompatible with our way of life.,Many have suggested that Islam is compatible with our way of life. Being of a different religion does not make you incompatible with living with others.,Informative,7.0,3.0,2.0,2.0,2.0,2.0,1,MUSLIMS
687,Girls should not be allowed to drive: it's a dangerous vice.,"Women are to be given the same consideration as men, so they can absolutely drive.",Informative,9.0,2.0,3.0,1.0,1.0,2.0,1,WOMEN
688,Forcing migrants to pay in full the costs of their own treatment is just and right,"This is a personal view, and I don't want to discourage migrants from coming to the UK.",Denouncing,6.0,2.0,2.0,2.0,2.0,2.0,1,MIGRANTS
689,It is ok to be racist against blacks.,Are you capable of giving an explanation as to why you think that it is okay to be racist against any ethnic group?,Questioning,9.0,3.0,3.0,1.0,2.0,2.0,2,POC
690,The vast majority of Muslims in the UK are unemployed.,Where are the 'thousands' of Muslims that are unemployed in the country? Can you prove it?,Questioning,6.0,2.0,2.0,2.0,2.0,2.0,1,MUSLIMS
691,Islam is a dangerous and violent religion.,Islam is a religion that has had a very positive and life changing impact on many countries around the world.,Positive,7.0,3.0,2.0,2.0,2.0,2.0,1,MUSLIMS
692,"When woman start asking for rights they become like Nazi's, they worship misandrists and misanthropes like [Donna Hylton](https://en.wikipedia.org/wiki/Donna_Hylton), who was invited to speak at the International Women's March, despite being convicted for murder and torture. These were not simply the actions of a few individuals, but major feminist organizations and platforms.","Donna Hylton had served her sentence, and once served most moral systems allow rights like freedom of speech to return. Bad ideas/actions of individuals in a group are not representative of the group itself, unless that group endorses those ideas/actions.",Informative,6.0,3.0,2.0,2.0,2.0,3.0,2,WOMEN
693,"Afro-European?? We in UK are white, this just not makes sense.","The racial composition of the population of this country has been changing for a while now, and since then, the percentage of people from other racial groups has risen or fallen. In fact, according to the 2011 statistics, at least 15% of people in the UK are non-white.",Informative,8.0,3.0,3.0,2.0,2.0,2.0,1,POC
694,Negroes are the cause of all the problems in our nation. They are violent and unstable.,Scapegoating can play a useful role in shifting a nation's attention from the real problems and the real criminals to prejudices. We should be careful as a nation not to fall into these mindtricks.,Informative,7.0,3.0,2.0,2.0,2.0,2.0,1,POC
695,"Muslims are not welcome in our country, they are dangerous.","This is not true. Even if a person practices a religion you do not approve of, you cannot expect him or her to be more likely to commit a crime.",Informative,8.0,3.0,3.0,2.0,2.0,2.0,1,MUSLIMS
696,Jews are nothing but criminals,Criminality refers to any action that is considered 'prohibited by the law'. Do you think that all Jewish people can be considered responsible for the same actions?,Questioning,8.0,3.0,3.0,2.0,2.0,2.0,2,JEWS
697,"Migrants are violent people, they are not welcome here.","Crime is not the fault of migrants, but of violent people.",Informative,8.0,2.0,2.0,1.0,1.0,2.0,2,MIGRANTS
698,Islam is a religion of death and rape: it has no place in a modern democracy.,The concept of 'religion of death and rape' is a distortion of how people understand the religion.,Informative,5.0,2.0,2.0,2.0,2.0,1.0,1,MUSLIMS
699,I hate gays,Just because you dont like gays doesn't mean you have to hate them. What did they do to you? It seems to me that you still have all of your rights.,Informative,8.0,3.0,3.0,2.0,2.0,2.0,4,LGBT+
700,Muslims are not welcome here. They do not share our values. They are not interested in our future.,This is just a myth spread to divide us. We do not need to scapegoat Muslims. They have contributed so much to our country.,Informative,8.0,3.0,3.0,2.0,2.0,2.0,1,MUSLIMS
701,The Nazis did not commit any crimes. Jews are a criminal element and should be exterminated.,"The Nazis committed a terrible crime and their behaviour is unacceptable in a modern democratic state. But their crimes did not stop us from living together in a tolerant, integrated society. And as for the Jews, our attitude towards humanity and our tolerance should improve towards any religious group.",Positive,7.0,3.0,3.0,2.0,2.0,3.0,1,JEWS
702,Women are little more than animals to be dominated by men.,Perhaps we should have a closer look at the reasons why some women are harmed by the violence they endure every day.,Informative,5.0,1.0,1.0,1.0,2.0,2.0,2,WOMEN
703,Muslims are violent.,"Violence by Muslims can be attributed to the actions of a few, and the increase of violence in the world, the result of globalization and technological change. I strongly suggest that it has to do with a lot of things, and not just Islam.",Informative,9.0,3.0,3.0,1.0,2.0,2.0,3,MUSLIMS
704,"The Quran is a mysoginistic book, it encourages rape and violence against women.",Islam and their religious texts absolutely do not promote violence and other heinous crimes as you are insinuating. The Quran promotes peace and love.,Informative,9.0,3.0,3.0,1.0,2.0,2.0,3,MUSLIMS
705,Jews are different.,Does this mean they have no identity or no value at all?,Questioning,5.0,1.0,2.0,2.0,1.0,1.0,2,JEWS
706,"Muslim men are rapists because Islam is a complete and total fascist ideology that promotes violent extremism and suggests that women are subhuman, as it is written in the Quran.","Muslim Feminists and other Muslim women's rights supporters don't agree with this. Fatema Mernissi says ""If women's rights are a problem for some modern Muslim men, it is neither because of the Quran nor the Prophet (...)"". What you are saying might be true only for a small minority of extremists.",Informative,7.0,3.0,3.0,2.0,2.0,3.0,2,MUSLIMS
707,Blacks do not want to work,There is absolutely no scientific backing to your statement. There are countless black people who want to work and have respectable jobs.,Informative,7.0,2.0,2.0,1.0,2.0,2.0,4,POC
708,Mentally disabled folks are gullible and don't have the brain to make rational decisions.,Just because someone has a diagnosed mental disorder doesn't mean they aren't able to make rational decisions.,Informative,9.0,3.0,3.0,1.0,2.0,2.0,2,DISABLED
709,I hate it when gay people think they can just 'mock' us with their 'sodomy'.,"Homosexuality is a not choice, but prejudice is.",Denouncing,8.0,3.0,3.0,2.0,2.0,2.0,1,LGBT+
710,"We should keep immigration down. The more immigrants there are, the harder it is for us all to be proud of our nations.",Maybe you should consider the fact that we could be too proud of our nations to the point that we shame our brother-in-arms?,Informative,5.0,1.0,2.0,2.0,2.0,2.0,2,MIGRANTS
711,"In the UK, it should be illegal to be gay.",I don't see why legality should apply to sexual desire as well.,Informative,7.0,2.0,2.0,1.0,1.0,1.0,1,LGBT+
712,"homosexuals should be isolated, isolated from society and should be isolated from the world.","Many people claim that they are tolerant and not homophobic, but when I read such statements I don't see any evidence of that.",Informative,6.0,2.0,2.0,2.0,2.0,2.0,1,LGBT+
713,"When you animals have ruined the world and are eating each other, because that’s all you are good for, we’ll still be here, keeping our bloodlines pure against all the odds, regretting the day we heeded the womenfolk and took our heels off your throats.",The womenfolk appear to have wisdom and not a little heart.,Informative,4.0,1.0,2.0,2.0,2.0,1.0,4,WOMEN
714,We have become so politically correct that even the mention of migrants is racist.,"Most people don't refer to them just as 'migrants', but also add a negative connotation of that word: that's the problem. Can't we accept that migrants just want to live and work here in peace?",Informative,7.0,3.0,2.0,2.0,2.0,2.0,3,MIGRANTS
715,"All are equal before the law but women exclude themselves from ""all"". They don't understand they are equal, because they don't want to be treated as equal.","The principle of ""equality before the law"" does not mean that everyone has obtained equal rights. So, it's very logical to demand equality when there are inequalities.",Informative,8.0,3.0,3.0,2.0,2.0,2.0,1,WOMEN
716,We must stop Islam. It is a death cult.,"We don't allow people to demonise all religions, but when it comes to Islam everybody seems to forget that it is a religion of peace as all the others.",Informative,9.0,3.0,3.0,1.0,2.0,2.0,3,MUSLIMS
717,Children are not for rent,Surrogate pregnancy is an assisted procreation technique that has nothing to do with 'renting children',Informative,8.0,3.0,3.0,2.0,2.0,2.0,4,LGBT+
718,Women are subhuman and deserve to be treated as such.,How can you say that women do not deserve the same rights as men?,Questioning,7.0,2.0,2.0,2.0,1.0,2.0,2,WOMEN
719,Arabs want to take over the world.,Why do think this?,Questioning,5.0,1.0,1.0,1.0,1.0,1.0,2,MUSLIMS
720,"Children should not be taught about LGBT perversion. Families, due to their cultural or religious backgrounds, have the right to be against it.","By this reasoning, no subject of importance should be taught in school, because there is always someone against a certain topic.",Informative,6.0,2.0,2.0,2.0,2.0,2.0,4,LGBT+
721,We must stop Muslims from entering our country: those refugees are killing our children and raping our mothers.,Why are you generalizing these heinous crimes on a religion?,Questioning,9.0,3.0,3.0,2.0,1.0,2.0,3,MUSLIMS
722,Islam is the enemy of the West. We must keep on fighting Muslims.,Islam is a peaceful and tolerant religion. Reasoning in terms of borders and compass points has nothing to do with it.,Positive,6.0,2.0,2.0,2.0,2.0,2.0,1,MUSLIMS
723,why do we never talk about female-on-male rape? Isn't this a crime as well?,"Rape is always a crime, whether a man or a woman is the victim. Rape is a crime regardless of gender. But male-on-female rape is prevailing by far.",Informative,7.0,3.0,3.0,3.0,2.0,2.0,3,WOMEN
724,Negroes only exist to serve their white masters.,"about 10,000 years ago, for the first time in history, some groups of humans started to dominate other groups, and this resulted in the birth of some groups with higher than average survival rate, some with higher than average death rate, some with higher than average poverty rate, and so on. This suggests that human dynamics are more complex than it might first appear.",Informative,6.0,2.0,3.0,1.0,3.0,3.0,4,POC
725,Rejecting refugees is our duty.,"Many refugees come from conflict zones, in situations of great social upheaval and widespread persecution. We do not have any conflict, and this is why we should be nice to refugees.",Informative,8.0,3.0,3.0,2.0,2.0,2.0,2,MIGRANTS
726,No negro can speak English.,That is just what racists claim. Do you really think it's so bad for a black person to attempt to improve their English? As if skin had an impact on language skills.,Informative,8.0,3.0,3.0,2.0,2.0,2.0,2,POC
727,Women aren't as smart as men.,"There is no evidence that women are less smart than men, and there is evidence that women are often disadvantaged. To suggest otherwise is just a form of sexism.",Informative,8.0,3.0,3.0,2.0,2.0,2.0,1,WOMEN
728,We can no longer accept Muslims living in our country. It is a matter of national security.,"Muslim terrorists have struck in Paris and London, killing scores of innocent people, that's true. We must root out terrorists before they destroy our country, that's also true. But we cannot target innocent people just because of their faith, otherwise we'd be no better than the terrorists that we seek to neutralize.",Informative,6.0,3.0,3.0,2.0,3.0,3.0,4,MUSLIMS
729,Blacks make up only 14% of the population but they kill more people than whites. It is a fact.,It is also a fact that African Americans are a majority when we consider innocent defendants (i.e. a person wrongfully convicted of murder and later exonerated). Innocent black people are about seven times more likely to be convicted of murder than innocent white people.,Informative,8.0,3.0,3.0,2.0,2.0,2.0,1,POC
730,"I'm sorry, but lesbians tend to have babies out of wedlock. That just doesn't gel.","I don't think you can guess if a person has 'kids out of wedlock', based on sexual orientation. Why shouldn't we accept people who do? Your argumentation doesn't seem to make sense to me.",Informative,7.0,3.0,2.0,2.0,2.0,2.0,1,LGBT+
731,Mentally disabled folks are criminals.,"There are a variety of intellectual and creative disabilities, and they are not crimes. How can you say otherwise?",Questioning,7.0,3.0,2.0,2.0,2.0,2.0,3,DISABLED
732,"Black minorities vote to strip wealth, power and opportunity from White people.","Minorities would never hope for such an impact on the rest of the society. Instead, they vote for the equal wealth, power, and opportunity for everyone.",Informative,8.0,3.0,3.0,2.0,2.0,2.0,2,POC
733,"Immigrants break our rules, they can't even keep their house clean. They are not welcome here, they are not worth our time.",We live in a free country and everyone has the right to respect others private lives.,Informative,5.0,2.0,2.0,2.0,2.0,1.0,1,MIGRANTS
734,Women are naturally inferiors and should be treated as such.,"Women are not naturally inferiors. They have the same rights as men, and the same responsibilities.",Informative,9.0,3.0,3.0,1.0,2.0,2.0,4,WOMEN
735,migrants say they are poor but they have the Iphone,"The reason why migrants arrive here is not always economic, many of them are wealthy people fleeing persecution and wars. For a person who is alone, far from home, without knowing the language of the country where he/she is, the internet really is a 'survival tool'.",Informative,8.0,3.0,3.0,2.0,2.0,2.0,4,MIGRANTS
736,Homosexuals are a plague spreading across Europe infecting Christians.,The decrease in the number of Christians is in no way related to the increase of homosexuals.,Informative,6.0,2.0,2.0,2.0,1.0,1.0,1,LGBT+
737,All Muslims are incompatible with the notion of a modern European.,Muslims are just as human as anyone else. Like Europeans. How can you say otherwise?,Questioning,7.0,3.0,2.0,2.0,2.0,2.0,1,MUSLIMS
738,"People go to prison for just words against Muslims, but Islamic crimes against Europeans are left unpunished. People are banned from UK for just words, but Muslim rapists are allowed entry.. English laws persecute instead of defending English people.",So you feel like you have been persecuted for belonging to a group? Maybe you have more in common with Muslims than you think!,Questioning,8.0,3.0,3.0,2.0,2.0,2.0,1,MUSLIMS
739,These are just another attempt by Muslims to impose their religion on non-Muslims.,Muslims are not imposing their religion on anyone. They are just different from other religions in that they choose to follow a set of specific beliefs and practices.,Informative,8.0,3.0,3.0,2.0,2.0,2.0,1,MUSLIMS
740,"Gays must be reclassified as insane, they are not welcome here, they should be locked up.","We are free to choose whether to live in peace with others, or to make them hide in their houses, persecuted for who they are. Which would you prefer for yourself?",Questioning,7.0,3.0,2.0,2.0,2.0,2.0,1,LGBT+
741,LGBTs are sick. They should be isolated and medically cured.,"Although some people may be attracted to people of their gender rather than being ""conventionally attracted"" to the opposite gender, this does not imply that it is a sickness. LGBT are discriminated by uninformed people. That's grim.",Positive,6.0,2.0,2.0,2.0,2.0,2.0,1,LGBT+
742,Refugees are a burden on the host country.,"We cannot refuse to house them, to feed them, to cure them, and expect them to assimilate.",Informative,7.0,3.0,2.0,2.0,2.0,2.0,2,MIGRANTS
743,All gays are a burden to society.,"The stereotype that gay people are inherently bad for society is sometimes perpetuated by the media, but is not backed up by scientific studies.",Informative,7.0,2.0,2.0,1.0,2.0,2.0,1,LGBT+
744,LGBTI people are a burden on society and should be excluded from it.,"You can't apply legal, social or political stigma to individuals just because of their sexual orientation. Your assertion seems to have no evidence or ignres the contribution members of these communiteis make to society.",Denouncing,9.0,3.0,3.0,1.0,2.0,2.0,1,LGBT+
